Year,VLF101A,VLF101B,VLF102A,VLF102B,VLF104B,VLF105A,VLF105B,VLF106A,VLF106B,VLF107A,VLF107B,VLF108A,VLF108B,VLF109A,VLF109B,VLF112A,VLF112B,VLF113A,VLF113B,VLF114A,VLF114B,VLF115A,VLF115B,VLF116A,VLF116B,VLF117B,VLF118A,VLF118B,VLF119A,VLF119B,VLF120A,VLF120B,VLF121A,VLF121B,VLF122A,VLF122B,VLF123A,VLF123B,VLF123C,VLF124A,VLF124B,VLF125A,VLF125B,VLF126A,VLF126B,VLF127A,VLF127B,VLF128A,VLF128B,VLF129A,VLF129B,VLF130A,VLF130B,VLF131A,VLF131B,VLF132B,VLF133A,VLF133B,VLF134A,VLF134B,VLF135A,VLF135B,VLF136A,VLF136B,VLF137A,VLF137B,VLF138A,VLF138B,VLF139A,VLF139B,VLF140A,VLF140B,VLF141A,VLF141B,VLF142B,VLF143A,VLF143B,VLF145A,VLF145B,VLF146A,VLF146B,VLF147A,VLF147B,VLF149A,VLF149B,VLF150A,VLF150B,mean,count
1939,NA,NA,NA,NA,0.096100524,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601477589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19093765,0.882224076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449210237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485636381,0.259717117,0.120684655,0.058591256,NA,NA,0.12458499,0.33826654,0.388479685,0.768024843,NA,NA,NA,0.774092773,NA,NA,2.220510297,NA,NA,NA,NA,NA,NA,0.837968164,1.223751374,0.577662244,11
1940,NA,NA,NA,NA,0.193721243,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.147898631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329872334,1.081545511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656777262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981033341,0.657226217,0.526818711,0.283128531,NA,NA,0.185704593,0.619910249,0.360009652,0.694618372,NA,NA,NA,1.118946765,NA,NA,0.514570149,NA,NA,NA,NA,NA,NA,1.525330469,2.252619123,0.772337127,11
1941,NA,NA,NA,NA,0.223782327,0.738257203,0.882020507,NA,NA,NA,NA,NA,NA,1.049835997,0.99738881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367078128,1.134855225,NA,NA,NA,NA,NA,NA,0.673008182,0.881242342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.172870472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.092870448,0.714031712,1.226875766,0.207215129,0.30665902,0.286618766,0.427427803,0.856673275,1.355385605,1.867243087,NA,NA,NA,1.434945743,NA,NA,1.357903189,NA,NA,NA,NA,NA,NA,3.189518254,4.347160432,1.116286143,14
1942,NA,NA,NA,NA,0.174235148,0.714490792,0.922639707,NA,NA,NA,NA,NA,NA,1.074272111,0.649310389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425591127,0.983084793,NA,NA,NA,NA,NA,NA,0.427689649,0.501426963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971836737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533622353,0.631586838,0.355307261,0.410805408,0.254136548,0.327127445,0.292452716,0.635193382,1.174828818,1.551210019,NA,NA,NA,1.26903771,NA,NA,1.510400444,NA,NA,NA,NA,NA,NA,3.647783964,3.950180016,0.974510431,14
1943,NA,NA,NA,NA,0.714792095,1.021651227,0.745453809,NA,NA,NA,NA,NA,NA,1.115509474,2.032422877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101487867,0.635269924,1.085839024,NA,NA,NA,NA,NA,NA,0.601413338,0.477498567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.687373319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32482644,1.121279109,0.715438441,0.486917425,0.33612597,0.422784291,0.537659335,0.704741266,0.802687758,2.14602404,NA,NA,NA,1.752309065,1.143056266,NA,3.022160162,NA,NA,NA,NA,NA,NA,4.590229272,4.699550711,1.308634657,15
1944,NA,NA,NA,NA,1.171374492,1.627586718,1.005390565,NA,NA,NA,NA,NA,NA,1.761678752,2.390660905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185311143,0.624514107,1.177039971,NA,NA,NA,NA,NA,NA,0.900095539,0.998186815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.096579997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52523556,1.212173306,0.651778664,0.405496297,0.515372773,0.518047614,0.784258377,1.186297734,1.214841376,1.784750299,NA,NA,NA,2.282874143,1.68087951,1.969286354,2.919662552,NA,NA,NA,NA,NA,NA,5.786589301,6.416793817,1.658990988,15
1945,NA,NA,NA,NA,2.015932071,1.978605649,0.96301697,NA,NA,NA,NA,NA,NA,1.949435811,1.995826667,NA,NA,NA,NA,NA,NA,NA,NA,0.391360455,0.176258235,0.195422146,0.425899727,0.937082846,NA,NA,NA,NA,NA,NA,0.57352467,0.735111354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.895444997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.866759658,1.64416447,0.871187654,0.541207363,0.548510564,0.564528419,0.622815835,1.295496218,1.722387494,2.06947829,NA,NA,NA,2.876318723,1.829754685,2.761328232,3.570671834,NA,NA,NA,NA,NA,NA,5.976819192,5.752708952,1.680933075,16
1946,NA,NA,NA,NA,1.24726785,1.298877056,1.851518039,NA,NA,NA,NA,0.689176448,NA,1.232040551,1.965415218,NA,3.139300848,NA,NA,NA,NA,NA,NA,0.623152317,0.314504188,0.149796651,0.599513728,0.676548349,NA,NA,NA,NA,NA,NA,0.983391488,0.67652815,2.742466317,2.323602396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03099143,NA,NA,1.266482208,NA,NA,NA,NA,NA,NA,NA,NA,1.879801905,1.509280734,0.607414114,0.578894135,0.605520145,0.615464662,0.409258955,0.999519814,1.743594251,1.697205448,NA,NA,NA,3.135625537,2.065356607,2.853347234,4.800045116,NA,NA,NA,NA,NA,NA,2.508561064,6.876361299,1.667524243,20
1947,NA,NA,NA,NA,2.046011944,2.162297856,2.477230482,NA,NA,NA,NA,1.267952759,NA,1.81155132,3.048440738,NA,3.665563747,NA,NA,NA,NA,NA,NA,0.977644106,0.483364102,0.270882415,1.235223915,1.54952616,0.701547093,0.798076093,NA,NA,NA,NA,1.125924179,1.578269849,3.667771576,3.668407055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.434524295,3.043909292,NA,NA,2.143602406,NA,NA,1.648571199,1.817176727,NA,NA,NA,NA,3.916824518,3.095254946,0.928162442,1.255377,0.764604829,0.91263979,1.045074332,2.022816275,2.447264536,2.844289576,NA,NA,NA,4.790908817,3.432186044,3.684137289,5.960890922,NA,NA,NA,NA,NA,0.610933902,4.957441415,7.72427684,2.350413819,23
1948,NA,NA,NA,NA,2.89168723,2.768504166,3.142772771,NA,NA,NA,NA,1.558909421,NA,2.323419649,3.596022853,1.552783586,4.390824072,NA,NA,NA,NA,NA,NA,1.330185138,0.549699092,0.345225211,1.569341883,2.380867421,1.285965952,1.427785343,1.109402647,1.075389067,NA,NA,1.54031446,2.398871796,5.602881272,4.857543243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.569416547,3.683732013,NA,NA,3.254917937,NA,NA,2.383042632,2.27679201,2.905742011,3.196645413,NA,NA,3.120656972,3.184634503,1.290401251,1.364455465,0.937959174,1.193392704,1.540021008,2.462398621,3.45657305,3.094110684,NA,NA,NA,4.575337024,3.073697136,3.893577487,6.854394001,NA,NA,NA,NA,NA,1.227197993,4.992858571,7.083093059,2.718076523,25
1949,NA,NA,NA,NA,4.044500189,3.549487959,3.191254365,NA,NA,NA,NA,1.51586764,NA,3.129872547,4.713664039,3.203521754,4.623523906,NA,NA,NA,NA,NA,NA,0.468963229,0.35242346,0.338586795,1.993969201,2.412904413,1.241597271,1.690336349,1.607818791,1.106971646,NA,NA,1.356993733,3.381405358,7.307516718,6.477860056,NA,NA,NA,NA,NA,NA,NA,4.73593155,2.769342405,NA,NA,3.29621834,5.136902484,2.5417386,5.014672541,4.14981845,NA,NA,3.109360075,2.963026037,3.637679887,4.44175951,NA,NA,2.719754698,3.072106569,1.539136006,1.346551276,1.124778755,1.27522566,1.800026121,2.476842809,4.705861766,3.453645455,NA,NA,NA,5.182151148,4.359764058,5.639113774,8.728372584,NA,NA,0.427230132,0.775733312,NA,1.667668112,6.71647202,5.874990487,3.184135569,28
1950,1.49857393,3.161975471,NA,NA,3.525544655,3.049674473,2.710226672,NA,NA,NA,NA,2.040957535,NA,2.989534531,4.176250533,3.463020776,3.620963949,NA,NA,NA,NA,NA,NA,0.52865332,0.402703931,0.404630564,1.865454998,1.989835441,1.277790974,1.564234158,1.55053206,1.730927428,NA,NA,1.045946329,2.078474194,6.768461934,6.151407754,NA,NA,NA,NA,NA,NA,NA,5.428722651,3.569059756,2.306571782,NA,2.411100582,4.396175136,3.116636693,4.919871928,3.382679181,1.481463134,NA,2.508460953,2.988661101,4.972179377,4.942202233,NA,NA,3.116478644,1.869900031,0.724711685,0.515550988,0.952358097,1.025098982,1.700827723,2.490490391,4.1948138,4.121678714,NA,NA,NA,5.086612871,3.450520162,5.475206379,6.817213169,NA,0.297456647,0.620359148,0.843048432,NA,1.50615974,7.856503644,7.687759117,2.935219794,31
1951,1.565122424,2.719538006,NA,NA,2.94710963,2.198870224,2.25348114,NA,NA,NA,NA,2.265881914,1.592083882,3.521549419,3.432117417,2.759809243,2.798116837,NA,NA,NA,NA,NA,NA,0.877528929,0.629561549,0.280476351,1.81026894,1.804847324,0.929297417,1.040006278,1.605468416,1.269805613,NA,NA,1.044512393,1.104576858,5.914230996,4.295186899,NA,NA,NA,NA,NA,NA,NA,5.780725092,4.952621386,2.451124337,NA,2.178638093,3.196639384,2.445482277,3.04298313,1.922680553,0.927361193,NA,1.650470117,1.365304686,4.451919056,3.62847953,NA,NA,2.033767026,1.400145453,0.854500819,0.689396446,0.664276716,0.709223879,1.206616068,2.085850028,2.966773163,2.624185477,NA,NA,1.444043267,3.171009761,3.773062108,4.753893104,5.962165171,NA,0.861192218,0.419056293,0.595869441,NA,1.078992153,5.210244174,5.827055097,2.361813703,32
1952,2.999631292,4.553108014,NA,3.204307007,6.395381135,5.837376046,4.771234865,3.81217285,1.889730968,NA,NA,3.927430075,3.869308096,5.06063324,6.708560152,4.351097169,3.013926124,2.623941445,1.580865732,NA,NA,NA,NA,1.215488285,0.613982741,0.466826738,2.456963848,2.935382032,1.460333832,1.750025515,1.850680952,1.932196159,1.646546278,2.121059673,1.313601112,1.66825714,6.010209569,5.575129301,NA,NA,NA,NA,NA,NA,NA,6.901051469,7.598970747,3.424434681,NA,4.787777884,4.670026574,5.019761284,6.304098549,4.143293831,2.16382557,NA,2.515410134,1.953362341,5.825463936,5.490041877,NA,NA,3.661904184,1.972324209,1.53072576,1.953809286,1.223688897,1.339032784,1.978309361,3.485675144,4.840873104,4.633100625,NA,NA,2.144889935,2.791775707,5.064179681,7.169364494,10.86841658,NA,1.155030678,0.790209131,0.969892424,NA,2.076278614,6.73431787,7.422077204,3.572596645,36
1953,3.315313884,3.157749977,NA,2.755242978,4.889939496,5.245556084,4.583323351,3.744377271,2.332150211,1.074537999,1.340285743,2.400040135,3.22488842,3.46800659,5.192186801,2.427976219,1.75289469,2.469403927,1.656433485,NA,NA,NA,NA,0.887111951,0.487442711,0.346763456,1.618251617,2.388415261,0.957861119,1.117146236,1.459842918,1.476433507,1.827963838,1.926971301,1.293715306,2.257861106,7.376223912,6.602585029,NA,NA,NA,NA,NA,NA,NA,5.19617537,5.915508219,2.916367095,NA,3.737482737,2.519058206,3.034323061,3.284442916,2.578705659,1.296376217,NA,1.42991835,0.978603155,4.10419713,4.730325072,NA,NA,2.880257094,1.587479019,1.091737741,1.250486013,0.867069987,0.761373419,1.679623165,2.382454257,3.797691367,3.285357051,NA,NA,1.713592836,2.216171585,2.370108526,4.86661416,6.567377631,NA,2.123978197,0.56155341,0.675197542,NA,1.531975891,5.157838615,6.16491894,2.721033376,37
1954,3.342568969,4.699451629,NA,3.618994255,5.415104646,6.885057745,5.918328521,6.290159601,3.741315464,1.920104678,3.085849196,2.393267421,4.206473812,3.977295931,5.794223196,3.825539191,2.819897545,3.58830898,2.553023157,NA,NA,NA,NA,0.861398482,0.68112154,0.446125566,2.298297385,1.978033529,1.608260515,1.647520818,2.007533477,1.638307788,3.070954527,3.706963645,1.835599756,2.483587546,8.563202743,7.622122089,NA,NA,NA,NA,NA,NA,NA,6.755231072,8.285079453,3.741719618,NA,4.674562116,4.552708136,4.438514913,3.850104185,3.536891512,2.174057374,NA,1.973582766,1.440381647,4.637665165,5.050727786,NA,NA,3.530662864,2.369597313,1.347268631,1.580336346,1.276727286,0.878569478,2.102485181,3.107554493,5.123368644,3.755073752,NA,NA,1.521799104,4.320783113,4.217587471,5.113336798,8.579079479,NA,4.218398394,1.220665512,0.965807324,NA,1.502837395,4.499116088,5.769032497,3.531870243,37
1955,3.027814332,3.029593365,NA,3.531222647,5.146225513,7.509939166,5.849615553,5.02010211,3.048874448,2.277177432,3.151857083,3.428559792,4.458891545,4.077936636,5.933115324,3.777849879,3.114643632,3.984150246,3.079927368,NA,NA,NA,NA,0.862373125,0.662699772,0.52922595,2.105715909,2.02770386,1.555539663,1.657228537,1.401488582,1.608425762,2.560463788,3.495117136,1.662128074,2.422760882,8.15456942,6.401793178,NA,NA,NA,NA,NA,NA,NA,6.371199807,8.086591628,3.422508187,2.174807505,3.343566232,2.872267985,3.572854407,3.938756487,2.468714919,1.969821524,0.470882082,1.81000209,2.001475,5.460620824,5.523632902,NA,0.877640753,2.676186531,2.123112178,1.308658304,1.740621472,1.144109709,0.734563181,2.183589855,2.424015789,4.841738136,4.437172345,NA,NA,1.949604563,4.487177614,4.491861777,4.513511338,6.972663315,NA,4.441586183,0.848391061,1.160136663,NA,1.629912004,5.373546227,5.202443976,3.280066775,39
1956,2.093129594,3.593823342,NA,3.986764319,3.683646985,5.103334304,3.646480699,7.167112147,3.86636189,2.095745306,4.10546284,3.726257546,3.910593666,3.491701058,5.931051943,4.387335724,3.152705849,4.241855291,3.543126013,NA,NA,NA,NA,0.741139334,0.63288462,0.526969678,2.10965214,2.172177904,1.720211378,2.034511401,1.88715462,1.95199824,1.723931497,1.88304543,1.426524055,1.562635122,8.1374281,6.881328093,NA,NA,NA,NA,NA,0.419801534,NA,6.724831624,9.919859547,3.707793451,3.825474441,3.403356475,2.533139492,3.847457725,4.038470972,2.557027716,2.039947924,0.658494661,1.647394433,1.938448518,5.425846015,5.896873312,0.524149404,0.772377378,2.654293582,2.483006931,1.160286682,1.361008278,1.151162695,0.792808455,2.653485491,2.039777523,6.475561285,5.276517368,NA,NA,2.404408719,5.923337835,5.433919703,4.968924823,8.277328318,NA,3.59878918,0.699705596,1.077724372,NA,1.173068412,6.751508913,6.518876046,3.331587847,40
1957,3.008363115,3.496947262,NA,6.318126975,4.606920708,5.951131795,3.28981199,8.019423296,4.550705657,3.167028,5.613523907,5.089968869,5.648841646,6.122629383,8.664693253,4.056381467,2.773714766,3.938260071,3.889897053,NA,NA,NA,NA,1.292738282,0.989979456,0.671623242,2.498829802,2.788648305,2.42486922,1.987626961,2.398841114,2.365249185,3.605350426,3.980427676,1.167056873,2.017137472,8.504600205,7.25157022,NA,NA,NA,NA,NA,0.808119651,NA,8.000882488,10.34347635,4.648719023,4.849089567,5.082172477,4.61391742,5.086586792,5.081698986,3.727549626,4.012334623,1.191400051,1.520713354,2.568627771,6.04498895,6.518197727,1.476752101,1.287128431,2.868556524,2.816292576,2.047597246,2.022039788,1.337830202,1.324164715,3.353003911,3.23162754,7.567424334,4.531294636,NA,NA,3.994762963,7.495097965,5.857470285,7.866215615,10.64702154,NA,5.542552825,1.404141266,1.2352877,NA,2.173450764,6.267355173,7.713449283,4.170970971,40
1958,3.789558081,4.132159571,NA,8.40106832,3.847614471,6.337320741,5.505688366,10.95280379,6.451435207,4.493990837,8.271962276,6.985348359,6.77713518,6.504920103,9.40303726,5.364368661,4.909907941,6.355172147,7.314192159,NA,NA,NA,NA,2.11671473,1.452224445,1.103324939,3.884185745,3.642352479,3.950862204,3.348527032,3.940360326,3.519512715,4.293118632,5.069239301,1.803660931,3.264232263,9.528252751,8.434275462,NA,NA,NA,NA,NA,1.245305153,NA,12.49805245,16.94164548,7.384022751,7.346976179,6.476826972,6.011046479,7.55468534,7.431754996,3.450672442,4.910786559,1.57938961,3.397565585,3.186901369,9.189053258,8.913054663,1.70962388,2.188538848,4.07735806,3.746079706,2.523029298,2.828186535,1.936212181,1.657746941,3.985024275,4.534194598,11.10902802,7.539482813,NA,NA,5.644103903,9.253957869,8.822786327,11.25611122,14.80261255,NA,6.50946177,2.884450533,1.800728751,NA,2.009032845,11.37022578,11.91335882,5.78843892,40
1959,4.666073082,4.604453292,4.268316853,8.196562452,4.408907482,5.648029608,5.727249758,10.82745972,6.678348249,5.238903234,7.753192213,6.377806708,6.809379544,6.845601721,7.722268921,4.435063454,3.014929072,5.569997605,4.914626289,3.502828518,4.517525721,NA,NA,2.073779154,1.557903994,0.892594262,3.138638499,3.594963124,3.326533494,2.439912388,3.720033534,2.92739245,4.441126331,6.250555006,1.55407716,2.956251532,8.504350718,9.302923595,4.865904929,NA,NA,NA,NA,1.827890901,NA,14.02708505,16.79626635,6.920914792,7.5030116,4.4801436,5.083035674,5.174322413,5.954129257,2.634507748,2.458898166,1.377463031,3.601202765,3.831016978,9.060442499,8.261261385,1.816171304,1.629278174,4.433860302,3.282940798,2.489439232,2.658938805,1.94483578,1.826627936,3.788313852,4.541618469,8.990782866,8.534785851,NA,NA,4.541470579,11.30761774,8.858253137,9.700233396,12.94533128,NA,5.930006318,1.746817434,1.937817296,NA,2.321045097,9.417357778,10.49728138,5.360616851,41
1960,5.460918802,5.202621727,6.800877766,8.852000056,7.05935481,5.73959837,6.71693567,13.02589128,8.155346383,5.331158749,7.879715799,7.680933637,8.208886263,9.148594085,10.04315855,6.676344772,4.848814594,7.721013428,6.903495314,10.24094238,13.25020844,3.422475028,3.43247392,2.23854348,2.327051543,1.097177669,4.520767955,5.179949333,4.161859663,3.800966097,4.192646248,3.584375568,6.357991503,6.864885425,2.339890709,3.956129562,11.98257112,10.51855495,7.364202162,NA,NA,NA,NA,2.337993848,NA,12.00659834,13.30228215,8.791722671,10.09965039,6.994475701,6.783584916,7.199997745,7.652470869,4.483175722,2.494022965,2.561551617,3.557199926,3.313582769,8.204479202,9.712127912,2.497333665,2.924904193,4.987037715,3.424149612,3.223530018,3.095630764,2.378000453,2.169369149,5.070585177,4.952047566,9.346017915,8.992255724,NA,NA,4.934092637,9.627683546,8.812702444,10.57532267,13.48613897,NA,5.673507688,3.438040412,2.033564653,NA,2.25338415,11.40383333,14.59682202,6.431797359,42
1961,5.926773106,5.855038631,8.308426245,9.298760674,7.784652497,5.592972937,6.27395201,14.66297545,9.107448754,4.854692951,8.476559781,7.415880186,8.75634706,11.25689531,11.50449069,5.296173643,4.572757466,7.936781165,7.645255011,8.94391895,11.56415415,4.653304249,4.114684144,2.64435271,2.303189742,1.291723321,4.341642182,4.121883171,3.744324682,4.604193715,4.143978545,3.807379865,6.296330237,7.172603327,2.191861049,3.677913317,13.27641392,12.08054991,8.694758072,NA,1.025976448,NA,NA,2.777768359,NA,8.019224184,15.04312563,9.988298782,11.57057373,7.060781101,6.334682025,7.188080947,7.088733978,4.48111017,3.094566042,2.485317993,4.377257893,4.01612342,9.446027151,9.15148513,2.409788923,2.8104833,5.927750201,5.648311937,2.941740806,3.399089639,1.811756487,1.786919499,5.706839147,4.536518964,9.673724006,8.491507605,NA,NA,6.911865816,11.09796249,9.838295507,10.73117602,15.50610282,NA,5.898242377,4.098657825,1.591371247,NA,1.686055012,11.44875405,12.42176155,6.62936457,43
