Year,VUF101A,VUF101B,VUF102A,VUF102B,VUF104A,VUF104B,VUF105A,VUF105B,VUF105C,VUF106A,VUF106B,VUF107A,VUF107B,VUF108A,VUF108B,VUF109A,VUF109B,VUF110A,VUF110B,VUF111A,VUF111B,VUF112A,VUF112B,VUF114A,VUF114B,VUF115A,VUF115B,VUF116A,VUF116B,VUF117A,VUF118A,VUF119A,VUF119B,VUF119C,VUF120B,VUF122A,VUF122B,VUF125A,VUF128A,VUF128B,VUF129A,VUF129B,VUF130A,VUF130B,VUF131A,VUF131B,VUF132A,VUF132B,VUF133A,VUF133B,VUF135A,VUF136B,VUF137A,VUF137B,VUF139A,VUF140A,VUF140B,VUF142A,VUF142B,VUF143A,VUF143B,VUF144A,VUF144B,VUF145A,VUF145B,VUF146A,VUF146B,VUF147A,VUF148A,VUF148B,VUF149A,VUF150A,VUF151A,VUF151B,mean,count
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611812068,NA,NA,NA,NA,NA,NA,0.412418659,0.408434869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063878196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.620792434,4.085562597,NA,NA,NA,NA,2.074011583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.753844344,5
1934,NA,NA,NA,NA,0.655843157,0.318058269,NA,NA,NA,NA,0.66072961,NA,NA,NA,0.963720806,NA,NA,NA,NA,NA,NA,0.611347147,0.674774016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321912569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.380510773,4.428463313,NA,NA,NA,NA,2.700242817,NA,NA,NA,NA,1.057704898,0.869866138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897670632,NA,NA,NA,1.503141857,9
1935,NA,NA,NA,NA,0.929049491,0.425023952,NA,NA,NA,0.198500469,0.760910545,NA,NA,NA,0.962915746,NA,NA,NA,NA,NA,NA,0.705685779,0.789831659,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653700383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.202553386,3.688307387,NA,NA,NA,NA,2.104322244,NA,NA,NA,NA,1.2862662,1.006696568,1.488381964,2.742359292,NA,NA,NA,NA,NA,NA,NA,1.39373248,NA,NA,NA,1.458639847,10
1936,NA,NA,NA,NA,1.384180749,0.756555942,NA,NA,NA,0.307107345,0.932391848,NA,NA,NA,1.542239535,NA,NA,2.100294813,1.082039095,1.556553367,0.054297916,1.013485608,1.11001323,NA,NA,0.562661674,0.285927738,NA,NA,NA,NA,NA,1.206747734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.500200227,4.684569852,NA,0.383792356,NA,NA,3.857672386,NA,NA,NA,NA,1.855270562,1.609633759,3.613765359,4.949025093,NA,NA,NA,NA,NA,NA,NA,2.226842716,NA,NA,NA,1.851098648,14
1937,NA,NA,1.492575228,0.77915594,1.585562974,0.926018955,NA,0.690495681,1.446889462,0.44159701,0.912068114,1.223986565,1.405351307,NA,1.847170175,NA,NA,2.704248426,1.341703717,2.278227734,0.251532212,0.977529657,1.091863161,NA,NA,0.608974825,0.401798285,NA,NA,NA,NA,NA,1.726420002,NA,NA,NA,NA,NA,NA,NA,0.626695687,NA,NA,NA,NA,NA,NA,NA,5.401612816,3.996930992,NA,0.476653298,1.25208402,2.678974621,3.294987249,NA,NA,NA,NA,2.20339858,1.988898534,4.011641413,5.903908248,NA,NA,NA,NA,NA,0.738925981,0.661934444,2.646783943,NA,NA,NA,1.765194096,20
1938,NA,NA,1.936223467,1.052512993,1.757832366,1.185286351,NA,0.934782707,1.78045862,0.528911169,1.06833342,1.617682461,1.597410735,NA,2.08677621,2.57910568,2.76693486,2.963004418,1.758673751,2.38304156,0.43437079,1.070011258,1.321730241,NA,NA,0.900658759,0.562204976,NA,NA,NA,NA,NA,2.367154515,NA,NA,NA,NA,NA,NA,NA,0.737901861,NA,NA,NA,NA,NA,NA,NA,4.852459422,3.95721183,NA,0.501363883,1.841477322,3.221502781,4.665844752,2.041636234,0.254445571,NA,NA,2.693026709,2.132395825,4.360349707,6.520626745,NA,0.323444086,NA,NA,NA,1.222852013,1.248503598,3.129119067,NA,NA,NA,2.009160582,23
1939,NA,NA,1.60921002,0.888550084,1.072702954,0.731724718,NA,0.584246917,1.423995924,0.290444336,0.610903685,1.051112165,1.190432513,NA,1.570402391,1.982705097,2.017286347,2.275859696,1.371394729,1.743928054,0.428106893,0.962719642,1.020378846,NA,NA,0.612446968,0.374411624,NA,NA,NA,NA,NA,1.708924423,NA,NA,NA,NA,NA,NA,NA,0.359031238,0.170726873,NA,NA,NA,NA,NA,NA,2.337226556,2.023397753,NA,0.399033033,1.444976068,2.688459443,3.780931086,2.266690865,0.297128039,NA,NA,2.109427884,2.004545229,3.684432255,5.830719097,NA,0.407630215,NA,NA,NA,0.75497766,0.827612489,2.450728726,NA,NA,NA,1.483989063,23
1940,NA,NA,2.47802737,1.750258412,1.923803496,1.468949736,NA,1.083186758,2.330640726,0.479732653,1.03797429,1.663410118,1.773171194,NA,2.287072002,3.959325618,3.761707174,3.328418465,1.852670953,2.703833174,0.804612339,1.371043771,1.643193488,0.759873868,NA,0.885372551,0.702917391,NA,NA,NA,NA,NA,2.811579299,NA,NA,NA,NA,NA,NA,NA,0.832394123,0.533740603,NA,NA,NA,NA,NA,NA,3.833848065,3.656387986,NA,0.607973803,2.272969462,3.845881476,5.193763507,3.26018386,0.495738537,NA,NA,2.837492563,2.438333898,6.228753257,8.877348102,NA,0.831574304,NA,NA,NA,2.00567467,2.160324384,3.922837362,NA,NA,NA,2.358438898,24
1941,3.568913306,3.365224061,1.884925433,1.678265008,1.671119165,1.463955399,NA,0.914564562,1.995149624,0.501603203,0.790126683,2.000717849,1.90746106,NA,2.43559333,4.0659455,3.090408118,3.696113207,2.073321066,2.629222411,1.16870063,1.282570033,1.529803948,0.903961824,NA,0.662572559,0.684112152,NA,NA,NA,NA,NA,3.503600258,NA,NA,NA,NA,NA,NA,NA,0.834730731,0.815436021,NA,NA,NA,NA,NA,NA,2.472495449,3.090744732,NA,0.602434184,1.982773948,4.137870303,5.059902553,4.08123886,0.659995756,NA,NA,2.823925253,2.653710431,7.23631661,9.053395113,0.043797209,0.344836849,NA,NA,NA,2.311259327,2.373905252,3.817643521,NA,NA,NA,2.360553693,25
1942,2.868518629,3.343153811,1.708128051,1.380847636,1.490339337,1.641804724,NA,1.015736821,1.975744627,0.465843619,0.798726854,1.661635097,1.970287221,NA,2.35827736,4.494197775,3.727517958,3.418806475,2.077789414,2.410958925,1.089792479,1.168977413,1.333372394,1.085929772,NA,1.021850896,1.00415237,NA,NA,NA,NA,NA,3.424772742,NA,NA,NA,NA,NA,NA,NA,0.76702209,0.660908073,NA,NA,NA,NA,NA,NA,3.152516743,4.732035001,NA,0.577789099,2.306272676,3.939835498,6.669916365,5.209470273,0.868781535,NA,NA,2.785633741,2.707267468,6.762579706,7.638124233,0.109109452,1.014914861,NA,NA,NA,2.075050697,1.989225927,3.811043465,NA,0.359697333,0.289194639,2.333990245,26
1943,4.008312049,6.46004982,3.078317399,2.929255989,2.151115953,2.163484198,NA,1.460526293,2.644208919,0.640307332,1.080562611,2.342726894,2.473765933,NA,3.971013653,6.897962658,6.632566132,5.91147421,3.563505014,3.659274734,2.078267586,1.848534434,1.903690561,1.602690467,NA,1.40217648,1.572483144,0.893003243,0.623188074,NA,NA,NA,4.860554856,NA,NA,NA,NA,NA,NA,NA,1.118460126,0.931142793,NA,NA,NA,NA,NA,NA,4.181006844,5.872987052,NA,0.892454077,3.699827118,5.16760426,9.514491297,6.912598231,1.044650471,NA,NA,4.51027114,3.844931694,9.984842188,11.93563868,0.393288607,1.222856124,NA,NA,NA,3.180781035,2.93362916,6.430322643,NA,0.762458012,0.498391267,3.414284405,27
1944,4.431567107,6.563152291,2.637938099,2.619272174,2.495396061,2.308645206,NA,1.379374518,2.918444213,0.854573184,1.296479288,2.508335176,2.525199865,NA,2.859979446,6.499897533,5.818029788,5.616600693,3.87753135,3.505636125,2.513247971,1.995636149,2.168928067,1.50632529,NA,1.544043026,1.425543531,1.170268425,0.822180516,NA,NA,NA,4.658172216,NA,NA,NA,NA,0.228930333,NA,NA,1.847382234,1.433297387,NA,NA,NA,NA,NA,NA,5.276215016,5.99555837,0.101056421,0.714586418,3.208925169,4.743364387,8.853772278,8.262076796,1.621633988,NA,NA,3.977315951,4.150059236,8.825998296,8.743886011,0.51710417,1.215375534,NA,NA,NA,2.841568717,2.974630131,5.649725845,NA,0.813037875,0.697548241,3.224268922,29
1945,4.592439383,6.180502661,2.009403144,2.13235333,1.827567825,1.575787569,NA,1.130288413,1.949297107,0.618310159,0.923092984,1.914497171,1.85843064,NA,2.717525573,6.159653396,5.183456739,3.758516999,2.887343232,3.249952366,1.90650525,1.248786692,1.655589582,1.277466282,NA,1.234616512,1.314107197,1.030588396,0.884675417,NA,NA,NA,4.112999291,NA,NA,NA,NA,0.29854423,NA,NA,1.374100719,1.179130474,NA,NA,NA,NA,NA,NA,4.352503987,4.499259637,0.142332481,0.603869914,3.336019453,4.391964268,8.224765884,7.166582525,1.7827821,NA,NA,3.57366889,3.329469397,7.779983636,8.263914658,0.461707069,1.206941971,NA,NA,0.683528901,2.513038308,2.422385839,5.033531839,NA,0.66640084,0.614042847,2.730082807,30
1946,4.290331672,5.322560261,2.080698277,1.726899446,1.254811367,1.364522733,NA,0.935397425,1.974493416,0.529708099,0.712265977,2.059309669,2.072949407,NA,2.719811459,5.987711766,4.662336216,3.249742936,2.58970379,2.93732424,1.69281115,0.973682902,1.26886423,1.548100924,NA,0.925189709,0.974457768,0.805350809,0.576554018,NA,NA,NA,4.299881717,NA,NA,NA,NA,0.263618515,NA,NA,1.099735113,1.167089199,0.392827002,0.153957881,NA,NA,NA,NA,2.619940905,3.315473473,0.349998332,0.704220801,2.19403125,3.12811935,8.613452391,6.976020256,2.067296147,NA,NA,2.527034401,3.146437204,7.040710465,7.664385189,0.477098548,0.890295974,NA,NA,0.526958421,2.506927135,2.092792907,4.5319895,NA,0.8054451,0.711131879,2.367970919,31
1947,4.86149002,4.716025784,2.344014481,1.717953865,1.309482609,1.264794309,NA,0.883818388,1.572535936,0.483212971,0.591922957,1.841336358,1.818367187,NA,2.557111039,6.79297261,4.513978818,2.730159097,2.242143817,3.153520341,1.625857894,0.867907602,1.354625817,1.526740892,NA,1.351455413,1.132347786,0.745782624,0.722082204,NA,NA,NA,3.292473387,NA,NA,NA,NA,0.162189325,NA,NA,1.107877404,0.950194967,0.240412653,0.108178172,NA,NA,NA,NA,3.276377203,3.806880901,0.27403724,0.56049811,2.903220539,3.856067323,10.13738293,6.566330771,1.940386124,NA,NA,2.546610054,2.555156171,6.23543836,7.059955401,0.560212173,0.778274599,NA,NA,0.760685708,2.684035219,2.745632598,3.670544862,NA,0.591771291,0.541111602,2.351576904,31
1948,4.734337847,3.968269985,1.607240352,1.194868273,0.848422736,0.804418413,NA,0.47420937,0.938051748,0.491595377,0.480414822,1.412813139,1.861853187,NA,1.894080422,4.650920459,2.925466664,2.111503719,2.155886781,1.980635061,1.117994171,0.673235183,0.811876541,0.924965308,NA,1.011941483,1.061773583,0.658675342,0.700235656,NA,NA,NA,2.977762795,NA,NA,NA,NA,0.174122783,NA,NA,0.79294166,0.689237649,0.217068188,0.126702557,NA,NA,NA,NA,2.382418781,2.959994597,0.385643069,0.425655782,2.10370581,3.238117122,7.550401033,2.825587807,1.280462339,NA,NA,1.834670642,1.802803504,5.414317171,5.704981393,0.398039881,0.729143667,NA,NA,0.807444033,1.989785644,2.213717529,3.454497528,NA,0.49534822,0.548327613,1.79280348,31
1949,3.404692286,3.107689229,1.32767289,1.192173921,0.664301881,0.859224603,NA,0.503316575,0.954284995,0.525401898,0.391136642,1.573264235,1.948505434,NA,1.699037545,2.681045989,2.013393044,2.224317,2.000650545,1.618181042,0.602795479,0.453293392,0.756086571,0.851487595,NA,0.884482777,0.88786591,0.805305125,0.540022773,NA,NA,NA,3.19624469,NA,NA,NA,NA,0.174130361,NA,NA,1.086776803,1.010053556,0.42169147,0.197036172,NA,NA,NA,NA,1.702930868,2.183350614,0.741095998,0.453016739,1.355148937,1.94539924,7.730687579,4.509728809,2.06474742,NA,NA,0.988867802,1.201562299,4.81711821,5.437802348,0.605867833,1.201603178,NA,NA,0.827726445,1.935858995,1.872271028,3.885291638,NA,0.576242721,0.733387001,1.647646568,31
1950,4.019546226,4.389631208,1.356329386,1.159283361,0.988180633,1.323837668,NA,0.794608561,1.101178857,0.757874338,0.467343716,1.820531421,2.197013954,NA,1.934579883,3.862095895,2.699061818,2.729369967,1.937218166,1.673007027,0.720285463,0.743283913,1.086588922,0.80116581,NA,1.435612329,1.191779648,0.783125119,0.787091545,NA,NA,NA,4.575863528,NA,NA,NA,NA,0.206980818,NA,NA,1.321761581,0.853483333,0.70719897,0.273756292,NA,NA,NA,NA,1.576491249,3.231037782,0.725898484,0.632154195,2.330281898,3.067793817,8.827805385,4.656604159,1.843405218,NA,NA,1.146806626,1.466925111,5.780634976,6.091447386,0.659522427,1.320789587,0.185653924,0.175660994,1.02995434,2.178270518,1.653809248,5.208232308,NA,0.755122473,0.763772012,1.927395336,32
1951,2.422010729,3.009844473,1.066934034,0.858938292,0.620015595,0.938639685,NA,0.601842955,0.955772038,0.754728621,0.455339906,1.88566427,1.704315261,NA,1.279171864,2.900575387,2.719089583,1.611221639,1.624170581,1.236658862,0.610776315,0.574305674,0.922006856,1.072567846,NA,1.208400737,0.930675437,0.598272454,0.750086513,NA,NA,NA,2.705496788,NA,NA,NA,NA,0.227089291,NA,NA,1.050416016,0.681621576,0.740424384,0.19520864,NA,NA,NA,NA,0.866153853,2.266121396,0.482737047,0.418362284,1.753480459,2.475901017,6.679007493,3.680852598,1.779163897,NA,NA,0.689356079,0.895090381,3.784886802,4.236581292,0.431431486,0.802251694,0.164968615,0.159952836,0.943814021,1.744323255,1.377374688,3.303258948,NA,0.69225881,0.723373742,1.441145182,32
1952,3.777473652,4.984063381,1.479272963,1.653026666,1.322000351,1.831163574,NA,1.040218331,1.803261141,1.162820282,0.997297061,2.844979818,2.348246302,NA,2.171393422,3.847775459,3.564235097,2.437596095,2.697608797,2.357112862,1.728600095,0.8322061,1.115174944,1.039737496,NA,0.924877573,0.902611795,0.823120171,0.924945145,NA,NA,NA,4.233611528,NA,NA,NA,NA,0.306667833,NA,NA,2.262114869,1.435629578,1.68229801,0.403805107,NA,NA,NA,NA,1.482604117,3.76885799,0.505550429,0.403244175,2.824510748,3.418873092,9.891737721,5.252566721,2.707946581,NA,NA,0.732449852,1.336742984,5.060175583,6.021066256,0.824645547,1.299297774,0.390704277,0.440311339,1.373088688,2.696347144,2.001225687,4.892255441,NA,1.133247045,1.039890212,2.189677907,32
1953,3.887630039,5.035288793,1.308994006,1.725791501,0.877413903,1.271740039,NA,0.956753134,1.487075869,0.981482178,1.208397876,2.555993529,2.293870919,NA,1.973587185,4.007912629,3.419829195,2.272519473,2.292766944,2.265823303,1.800676015,0.827628948,1.062523778,0.568111012,NA,0.806181682,0.783875922,0.709056423,0.631936058,NA,NA,NA,4.554691644,NA,NA,NA,NA,0.263379131,NA,NA,2.250347531,1.657603066,1.133149012,0.250000288,NA,NA,NA,NA,1.407079302,2.808331787,0.753433031,0.488671053,2.551513187,2.696184326,9.239736845,4.612146293,2.218105422,NA,NA,0.609541707,1.178260814,4.632106438,5.809090918,0.81507401,1.10504003,0.365203649,0.36273705,1.155587382,2.567854863,2.137628174,4.186368194,NA,0.968378332,0.927239445,2.013042605,32
1954,2.608190124,3.034293231,0.73758291,1.02786285,0.320228735,0.859766732,NA,0.433733843,0.597209327,0.535866684,0.633677391,1.883748988,1.464191088,NA,1.090864629,2.3388224,1.795866731,1.776094813,1.729612985,1.978418142,1.314229692,0.304475094,0.754638642,0.119548729,NA,0.641173519,0.426813143,0.343167656,0.388255,NA,NA,NA,2.251637146,NA,NA,NA,NA,0.105586584,NA,NA,1.446286604,1.271491789,0.575959515,0.121971982,NA,NA,NA,NA,0.885189404,1.679706379,0.453631961,0.179981202,0.978332935,1.198979522,5.91142093,3.252482901,1.781516258,NA,NA,0.111338487,0.458076125,3.011423043,2.56825891,0.577237112,0.65071839,0.243527665,0.185828092,1.06996815,1.563110115,1.434874401,2.017031057,NA,0.71070252,0.678816998,1.209334896,32
1955,2.413545621,3.440776971,1.252065579,1.20147097,0.381044711,0.724505343,NA,0.383015477,0.566899128,0.683272236,0.715135589,1.918325041,1.789485238,NA,1.625563573,2.146622218,1.872310763,1.951373348,1.73063241,1.730764273,1.475277173,0.418034151,0.90769725,0.180094871,NA,0.964142384,0.673645105,0.468712658,0.597490586,NA,NA,NA,2.367189455,NA,NA,NA,NA,0.205554497,NA,NA,1.129641172,1.268745617,0.34243185,0.141917797,NA,NA,NA,NA,1.097850094,1.206057541,0.179911218,0.146889473,1.12692996,1.519492374,6.274067987,4.47187368,1.910822686,NA,NA,0.390928462,0.590318101,3.251420453,3.564274379,0.639076203,0.720846396,0.26205478,0.202542627,0.810404284,1.54678041,1.806009834,1.918407297,NA,0.714704424,0.690872814,1.321998519,32
1956,2.81934949,3.69353875,1.158066367,1.165088456,0.2950253,0.847955286,NA,0.444963552,0.607456964,0.714548512,0.789362018,1.951734994,1.738220805,NA,1.618279557,2.435290391,1.898587351,1.653666354,1.264690796,1.424831872,1.517188386,0.37264119,0.667074817,0.205227881,NA,1.24618946,0.767058013,0.559983425,0.761058369,NA,NA,NA,1.784598889,NA,0.240416213,NA,NA,0.247834906,NA,NA,0.958141146,0.846423816,0.221836536,0.093912422,0.390631799,NA,NA,NA,0.865205481,1.330801794,0.265771199,0.121768751,1.181863503,1.563431096,6.112096862,3.707675706,2.032916195,NA,NA,0.35536573,0.427056057,3.006518132,3.423697694,0.720592411,0.52017185,0.281035544,0.418639563,0.744954788,1.724827669,1.786307481,1.423763189,NA,0.768243312,0.777076766,1.244923769,34
1957,1.264132572,2.101628474,0.364243216,0.314726407,0.177815053,0.436727033,NA,0.218958059,0.323735248,0.52033666,0.520470695,0.612254801,0.530996249,0.228342869,0.632116024,1.449559553,0.840557238,0.733361597,0.561833637,0.635372569,0.624834138,0.325834598,0.488202738,0.096989994,NA,0.532929477,0.384725854,0.28984637,0.432725788,NA,NA,NA,1.008474097,NA,0.188691478,0.076056131,0.019752826,0.056063387,NA,NA,0.500610454,0.472760638,0.116685205,0.038890303,0.148040638,NA,NA,NA,0.689155495,1.282625073,0.250865361,0.061155963,0.837054209,1.377487051,4.632848384,1.506529325,0.979773406,NA,NA,0.056255395,0.167739141,1.221227223,1.214383492,0.477986928,0.644523123,0.310035925,0.332437609,0.917943819,0.632392914,0.646734514,0.521292066,NA,0.698759247,0.695332736,0.640397008,35
1958,1.984440883,2.762498175,0.462498734,0.443478909,0.492088946,0.65527199,NA,0.395393673,0.615546774,0.57992626,0.491874923,0.805106426,0.572867836,0.450736939,0.896656814,1.462202941,1.137477834,0.865059239,0.643895108,0.746517319,0.756045199,0.201844783,0.347470307,0.353801979,NA,0.659185547,0.620241169,0.409075927,0.526699247,NA,NA,NA,1.349975863,NA,0.354962327,0.085045048,0.027186731,0.052219188,NA,NA,0.71304141,0.721092335,0.215601026,0.122742913,0.17327328,NA,NA,NA,0.721911391,1.380555688,0.403258309,0.061337167,1.047503201,1.680687709,4.946695628,1.632553356,1.028384377,NA,NA,0.263048464,0.355281298,1.594646443,1.640400939,0.639571027,0.716206782,0.3661182,0.646690466,1.190717591,0.931044613,1.132635901,0.99569457,NA,0.693927691,0.719339183,0.815687567,35
1959,3.380693545,6.002172279,1.011288418,1.074765834,0.784651537,0.969914281,NA,0.780655326,1.692174223,1.454253892,1.365183632,1.865930216,1.606233871,1.206340584,2.414923205,3.38120417,2.545527924,1.592085863,1.262654268,1.510028095,1.255516874,0.483454539,0.702050127,0.755546715,NA,1.349064665,1.094807675,0.978817307,1.089807046,NA,NA,NA,2.162183617,NA,0.483028599,0.332742818,0.091623609,0.141455116,NA,NA,1.388272129,1.624493269,0.437698846,0.258058829,0.218998195,NA,NA,NA,1.422014674,3.814854601,0.382684153,0.21167604,2.298191826,4.10019731,7.595404339,4.404842059,2.41633948,NA,NA,0.490807033,0.772055229,4.207729853,4.318906872,1.07182756,0.99829755,0.649275796,0.837530532,2.16019883,2.349023318,2.687311794,2.092014977,NA,1.158816899,1.167115147,1.705923617,35
1960,4.45782672,5.42822618,1.043720284,1.225900212,0.688174126,0.958595685,NA,0.542232767,1.484108383,1.120025404,1.583355948,1.869839017,1.279798265,0.817311678,1.910723001,3.325188971,2.041303539,1.428172162,1.26087369,1.886283544,1.66356881,0.541030291,0.860995347,0.834839721,NA,1.319719722,1.190346507,0.731243617,1.076398279,NA,NA,NA,1.953556139,NA,0.413964829,0.303494425,0.397683625,0.126411588,NA,NA,1.590085524,1.391326328,0.528405996,0.221053635,0.088131617,NA,0.007231,0.17507479,1.24943707,3.189715447,0.018268295,0.142303632,2.61168095,4.110671461,7.155368212,4.157070227,2.352064477,NA,NA,0.550952791,0.607712159,3.492594453,4.701748426,0.798702048,0.788586666,0.598403866,0.776731852,2.139875155,1.875295817,2.53472974,2.257134243,NA,1.092684119,1.057381508,1.581053774,36
