year,D,fir,aspen,pine,spruce,adj.c.fir,adj.c.pipo,adj.c.spruce,adj.c.asp
1974,0.86,-22.37167465,-22.8,-22,,-21.51167465,-21.14,,-21.94
1975,0.89,-21.81035645,-23.3,-22.4,,-20.92035645,-21.51,,-22.41
1976,0.92,-21.80738884,-23,-21.3,,-20.88738884,-20.38,,-22.08
1977,0.94,-22.56371025,-22.9,-22.2,,-21.62371025,-21.26,,-21.96
1978,0.97,-21.79912926,-23.5,-22.1,,-20.82912926,-21.13,,-22.53
1979,1,-22.08736366,-23.7,-23.5,,-21.08736366,-22.5,,-22.7
1980,1.03,-21.75808558,-23.9,-21.5,-20.2,-20.72808558,-20.47,-19.17,-22.87
1981,1.06,-22.27186096,-23.8,-21.5,-21.1,-21.21186096,-20.44,-20.04,-22.74
1982,1.08,-21.94486557,-23.9,-22.8,-21.1,-20.86486557,-21.72,-20.02,-22.82
1983,1.11,-21.74549683,-24.2,-23.2,-21.9,-20.63549683,-22.09,-20.79,-23.09
1984,1.14,-21.77771454,-23.1,-22.9,-21.6,-20.63771454,-21.76,-20.46,-21.96
1985,1.17,-21.7167966,-23.6,-22.8,-22,-20.5467966,-21.63,-20.83,-22.43
1986,1.2,-21.11177849,-22.8,-23.6,-22.4,-19.91177849,-22.4,-21.2,-21.6
1987,1.22,-21.28860542,-23.2,-23.2,-22.3,-20.06860542,-21.98,-21.08,-21.98
1988,1.25,-22.53510612,-23.4,-23.2,-22.5,-21.28510612,-21.95,-21.25,-22.15
1989,1.28,-21.47765556,-22.4,-22.9,-20.9,-20.19765556,-21.62,-19.62,-21.12
1990,1.31,-22.41041857,-24.2,-23,-21,-21.10041857,-21.69,-19.69,-22.89
1991,1.34,-23.13995895,-23.9,-23.4,-21.9,-21.79995895,-22.06,-20.56,-22.56
1992,1.37,-22.63048393,-23.5,-23.6,-21.6,-21.26048393,-22.23,-20.23,-22.13
1993,1.39,-21.19749718,-22.5,-23.1,-20.3,-19.80749718,-21.71,-18.91,-21.11
1994,1.42,-21.45678474,-22.6,-23.4,-20.6,-20.03678474,-21.98,-19.18,-21.18
1995,1.45,-22.40019903,-22.9,-23.2,-21,-20.95019903,-21.75,-19.55,-21.45
1996,1.48,-20.98376556,-22.6,-22.9,-19.5,-19.50376556,-21.42,-18.02,-21.12
1997,1.51,-22.94664734,-24.3,-22.8,-20.7,-21.43664734,-21.29,-19.19,-22.79
1998,1.53,-23.2396833,-24.7,-23,-20.9,-21.7096833,-21.47,-19.37,-23.17
1999,1.56,-23.71301163,-24.6,-23.1,-21.6,-22.15301163,-21.54,-20.04,-23.04
2000,1.59,-21.79390442,-20.5,-22.3,-19.7,-20.20390442,-20.71,-18.11,-18.91
2001,1.62,-21.87225563,-21.3,-23.3,-20.1,-20.25225563,-21.68,-18.48,-19.68
2002,1.65,-20.20842079,-21,-22.5,-18.4,-18.55842079,-20.85,-16.75,-19.35
2003,1.67,-20.96432068,-21.5,-22.5,-19.1,-19.29432068,-20.83,-17.43,-19.83
2004,1.705,-21.65665756,-22.4,-22.9,-19.3,-19.95165756,-21.195,-17.595,-20.695
2005,1.73,-22.04745529,-21.8,-22.7,-20,-20.31745529,-20.97,-18.27,-20.07
2006,1.765,-21.11729698,-21.8,-23.1,-19.9,-19.35229698,-21.335,-18.135,-20.035
2007,1.79,-21.3929409,-21.2,-23,-20.8,-19.6029409,-21.21,-19.01,-19.41
2008,1.82,-21.38057434,-23.4,-22.4,-21.1,-19.56057434,-20.58,-19.28,-21.58
2009,1.848571429,-21.07741396,-23,-22.6,-21.5,-19.22884253,-20.75142857,-19.65142857,-21.15142857
2010,1.8775,-21.45462789,-24.1,-22.5,-21.9,-19.57712789,-20.6225,-20.0225,-22.2225
2011,1.906428571,-21.0270033,-21.3,-22.7,-20.5,-19.12057473,-20.79357143,-18.59357143,-19.39357143
