Year,VUF001A,VUF001B,VUF002A,VUF002B,VUF003A,VUF003B,VUF004A,VUF004B,VUF005A,VUF005B,VUF006A,VUF006B,VUF007A,VUF007B,VUF008A,VUF008B,VUF009A,VUF009B,VUF010A,VUF010B,VUF011A,VUF011B,VUF012A,VUF012B,VUF013A,VUF013B,VUF015A,VUF015B,VUF016A,VUF016B,VUF017A,VUF017B,VUF018A,VUF018B,VUF019A,VUF019B,VUF020A,VUF020B,VUF021A,VUF021B,VUF022A,VUF023A,VUF023B,VUF024A,VUF024B,VUF025A,VUF025B,VUF026A,VUF026B,VUF027A,VUF028A,VUF028B,VUF029A,VUF029B,VUF030A,VUF030B,VUF031A,VUF031B,VUF032A,VUF032B,VUF034A,VUF034B,VUF036A,VUF036B,VUF037A,VUF037B,VUF038A,VUF038B,VUF039A,VUF039B,VUF040A,VUF041A,VUF041B,VUF042A,VUF042B,VUF044A,VUF044B,VUF045A,VUF045B,VUF047A,VUF047B,VUF048A,VUF048B,VUF049A,VUF049B,VUF050A,VUF050B,mean,count
1933,6.478170974,4.862147835,3.836848544,0.466013688,NA,NA,NA,NA,0.424754061,NA,NA,NA,NA,NA,NA,NA,0.024794516,0.021385601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.432194848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.507881088,2.100733051,2.459090803,3.810527469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.587787121,7.703480846,6.106842343,NA,NA,2.690955111,6.034053657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62045068,10
1934,8.394690792,6.232368779,3.980597771,0.797026387,1.761570976,0.826046173,NA,NA,0.69324829,NA,NA,NA,NA,NA,NA,NA,0.132384796,0.120902144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.415253619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.252257832,2.848090062,4.032020041,4.855155805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.12699703,10.55089685,8.829704622,NA,NA,3.800406845,7.196603284,NA,NA,NA,0.484202609,NA,NA,NA,NA,NA,NA,NA,NA,4.266521235,12
1935,8.612298071,5.746340154,3.368249802,0.919910436,2.1108271,1.217306215,NA,NA,0.722892677,NA,NA,NA,NA,NA,NA,NA,0.215341333,0.185308845,NA,NA,0.477298658,1.288907973,NA,NA,NA,NA,NA,NA,NA,NA,5.251377222,5.201322211,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.448587602,3.565491033,4.030048438,4.835711445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.21532604,7.707404903,7.125292118,NA,NA,3.11398316,5.748778816,NA,NA,NA,0.684128387,NA,NA,NA,NA,NA,NA,NA,NA,3.730092723,13
1936,9.296644706,7.883239651,3.519292342,1.561033716,2.908076895,1.657148265,NA,NA,1.257016527,NA,0.619829738,0.449452834,NA,NA,NA,NA,0.394476858,0.379441493,NA,NA,1.127347119,2.16336319,NA,NA,NA,NA,NA,NA,NA,NA,8.728140157,9.223642081,0.413357178,0.429563914,NA,NA,NA,NA,1.153618922,NA,NA,3.386804849,4.81654718,4.246950153,6.119913975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702397586,NA,NA,0.57438322,0.202750475,NA,NA,14.18357253,10.78191083,9.988487413,NA,NA,4.098066552,8.143237739,NA,NA,NA,1.016521431,NA,NA,NA,NA,NA,NA,NA,NA,3.916975146,18
1937,10.34980794,7.10223679,4.082182843,1.813088265,3.03229919,1.84120633,NA,NA,1.300178398,NA,0.746711901,0.561534248,NA,NA,NA,NA,0.529033863,0.49365701,NA,NA,1.382800419,2.368806902,NA,NA,NA,NA,NA,NA,NA,NA,9.009780866,8.750953343,0.644310577,0.655035382,NA,NA,0.373204023,0.139544121,1.826133797,NA,NA,3.958572636,5.337586302,5.061344168,6.051154468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321775895,1.458505339,NA,NA,0.944133076,0.341435168,NA,NA,13.89509896,11.90362184,9.397833061,NA,NA,4.834055634,8.261098854,NA,0.949383859,NA,1.004970042,NA,NA,NA,NA,NA,NA,NA,NA,3.734945015,20
1938,11.56082797,8.93323087,4.677133471,1.99311807,3.453457577,2.262986333,NA,NA,1.423796515,NA,0.953740767,0.694987842,NA,NA,NA,NA,0.809408193,0.738329273,0.734903264,NA,1.787537933,2.588865844,NA,NA,NA,NA,NA,NA,NA,NA,8.967143369,11.93357227,0.783466464,0.724128137,NA,NA,0.652540993,0.288810327,2.035663924,NA,NA,5.278979737,6.057111233,5.85170604,6.046135507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604896727,2.14163422,NA,NA,0.694890182,0.276650533,NA,NA,13.30339202,12.25394886,11.29700274,0.43283316,0.325103856,5.664264484,9.677425283,0.95543058,1.282452131,0.838856771,1.107555534,NA,NA,NA,NA,NA,NA,NA,NA,3.802197975,22
1939,8.577384099,6.692801401,3.609177599,1.723622391,2.22646742,1.795481948,NA,NA,0.893419211,0.18710403,1.101191058,0.740809635,NA,NA,NA,NA,0.787532915,0.608141188,0.685283425,NA,1.513293522,2.009285877,NA,NA,NA,NA,NA,NA,NA,NA,7.757301871,8.078073457,0.614820102,0.50247451,NA,NA,0.348281305,0.20490733,1.500464707,NA,NA,3.66813468,5.026282589,4.163894143,3.925919305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635313336,1.516081778,NA,NA,0.52595797,0.133186609,NA,NA,9.216006623,8.16107725,6.535012935,0.375730056,0.269988193,3.696441304,6.44366086,0.835505916,1.144427783,1.199339406,1.137832518,NA,NA,NA,NA,NA,NA,NA,NA,2.701636884,22
1940,12.12612711,9.638538506,5.128814928,2.464075525,4.40544804,3.121928439,NA,NA,1.721398881,0.453802592,1.759446058,1.174728826,NA,NA,NA,NA,1.281188752,1.074439832,1.118301872,NA,2.521446407,3.391129849,NA,NA,NA,NA,NA,NA,NA,NA,11.03513021,14.48020523,1.15019054,0.968905206,NA,NA,0.828477884,0.499059177,2.275993181,NA,NA,5.353942838,7.041541008,5.651057035,5.682359079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165809524,2.32493253,0.330065436,0.208274722,0.702775499,0.271435297,NA,NA,14.89090644,14.53523092,12.53368012,0.671713102,0.549562984,5.622154645,8.674910501,1.307548192,1.333071202,1.731115933,1.605274141,NA,NA,NA,NA,NA,NA,NA,NA,4.065259028,23
1941,12.80260204,9.441124381,5.515308005,2.626886262,6.200942083,4.568667606,NA,NA,1.996986321,0.800984843,1.627119988,1.359220381,NA,NA,NA,NA,1.219778124,1.119662,1.78595451,NA,3.318692213,3.204797243,NA,NA,NA,NA,NA,NA,NA,NA,10.6217135,13.75761785,1.714953839,0.882679432,NA,NA,1.180129426,0.326213177,2.564565482,NA,NA,5.400276887,8.263589889,5.648083277,5.376684787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.612859585,2.459973389,0.808373488,0.650059359,0.274607991,0.303968127,NA,0.156989382,12.1065621,12.81675571,11.76326302,1.363960022,0.762001452,5.951505146,7.966016895,2.409641987,2.563358079,1.855044835,1.665633772,NA,NA,NA,NA,NA,NA,NA,NA,4.109450179,24
1942,10.1381396,9.785924094,4.90605034,2.672509055,4.960162603,3.308763287,NA,NA,1.6242596,0.817116859,1.435570072,1.266657384,NA,NA,NA,NA,1.110009565,1.224855598,1.283417529,1.789984561,2.505865769,3.292409555,NA,NA,1.256468765,0.223965162,NA,NA,NA,NA,8.057424437,10.09326941,1.256776481,0.830883818,NA,NA,0.948804984,0.588502403,2.626813789,NA,NA,4.574859101,5.991057977,4.245784036,4.218155411,NA,NA,0.565709202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621644064,0.808838166,1.357246519,2.439782262,0.788011846,0.532860889,0.239810344,0.206228519,NA,0.181953012,11.29198548,11.28370641,10.60972429,0.899239811,0.697641697,5.867023138,6.778860213,2.199783407,1.366624806,2.103465106,1.843491302,NA,NA,NA,NA,NA,NA,NA,NA,3.194361835,27
1943,15.73378184,14.156266,7.679566193,4.041922912,7.232423257,4.442048737,NA,NA,2.858133044,1.33161289,2.638263338,2.289651865,0.714570627,0.670427012,NA,NA,1.8736332,1.761274982,2.62636766,3.213252281,3.899890291,4.345041719,NA,NA,1.750421494,0.37022879,NA,NA,NA,NA,15.05474723,17.07559505,1.738461617,1.48524295,NA,NA,1.184981782,0.933745645,4.131473541,NA,NA,5.85285317,8.745397224,6.212318436,5.62627974,NA,NA,0.875671549,NA,NA,NA,NA,0.27507657,NA,NA,NA,NA,NA,0.72799098,0.82368689,1.927109949,3.575494309,1.142974335,0.727719186,0.646591865,0.29617828,2.309928124,0.418814491,19.19061662,21.00651999,14.91487604,1.350161951,1.296664418,9.395077969,10.18631164,2.866821775,2.083770394,3.183826422,2.250763112,NA,NA,NA,NA,NA,NA,NA,NA,4.68782447,29
1944,14.81505751,11.87652107,7.160051932,3.296174182,6.628980652,4.107266209,NA,NA,2.274924369,1.260325152,1.981871331,2.145963493,0.952131035,0.808405391,NA,NA,1.900887326,2.002872877,2.534878301,2.577973011,3.658729905,3.865447548,NA,NA,1.847225508,0.469227486,NA,NA,NA,NA,12.53165445,13.08448999,1.70694868,1.36555034,NA,NA,1.080069162,0.878895696,3.888939305,NA,NA,5.915149217,10.18116781,6.66773534,5.644239319,NA,NA,1.179987782,NA,NA,NA,NA,0.531213325,NA,NA,NA,NA,NA,1.233327141,1.339047899,1.944125606,3.083450564,1.23545676,0.845902737,0.527515584,0.272540908,2.465494402,0.704726944,12.92432233,15.86308921,12.39401988,1.339956079,1.137951101,8.407587074,10.50456503,1.715330658,2.134698772,2.818475377,1.944010538,NA,0.189067798,NA,NA,NA,NA,NA,NA,4.106283947,30
1945,12.38006564,15.96211723,7.088058567,3.651744926,6.362050769,4.211960865,NA,NA,1.918101636,1.10127065,1.94887404,2.095277544,1.000832231,0.85132677,NA,NA,1.601152716,1.612118646,2.689523008,2.648180927,4.178605891,3.80985923,0.472982328,0.166736137,1.265439023,0.359242133,NA,NA,NA,NA,12.45256844,13.39090892,1.580092276,1.096514532,NA,NA,1.126908242,0.747244579,3.850961488,NA,NA,4.44715462,5.848373955,5.96027651,5.611513426,0.769559496,0.3584799,0.924346239,NA,NA,NA,NA,0.576060138,NA,NA,NA,NA,NA,1.212005431,1.195060692,1.846812072,3.083468615,0.94625076,0.670290114,0.500561495,0.249055825,2.759721049,0.875474387,16.32167604,17.62898284,10.11527579,1.637019786,1.367098262,8.724852551,11.62877923,2.498872289,2.370619674,2.784140949,2.276078576,NA,0.247398091,NA,NA,NA,NA,NA,NA,3.84840641,32
1946,11.91986356,12.43487106,6.040067422,2.709360881,5.303271615,3.617086274,NA,NA,1.618061609,1.17570813,1.707343889,1.672406135,0.963058519,0.728813872,NA,0.106783776,1.576677532,1.718319474,2.572098001,2.345017363,3.51361394,3.233111247,0.646330499,0.241954085,1.484677355,0.461743031,NA,NA,NA,NA,11.45292124,12.81403304,1.413426997,0.688288571,NA,NA,0.769154854,0.677592232,2.845687654,NA,NA,5.013844854,4.536851639,4.761434191,4.80244722,0.596075246,0.355796301,0.917362068,NA,NA,NA,NA,0.337614803,NA,NA,NA,NA,NA,1.06992704,1.220048452,2.162552156,2.814427866,1.089380973,0.813227731,0.428634126,0.17434938,2.464686821,0.894229128,12.94883477,16.97639457,10.13022375,1.691630459,1.372268337,7.928041393,9.664142926,1.847655968,2.343780502,2.264007115,2.164927659,NA,0.191990406,NA,NA,NA,NA,0.021907486,0.000170506,3.265325963,34
1947,15.89078582,15.618699,6.689522777,3.78970349,7.178231197,4.841450769,NA,NA,2.415897214,1.596719829,1.75296406,1.97709428,0.789094809,0.595567339,NA,0.106144023,1.779432301,2.065678897,2.772576907,2.600688832,3.887325333,4.155855037,0.876052134,0.331973154,2.178373938,0.749303079,NA,NA,NA,NA,14.5216951,17.70159884,2.124111393,0.968913643,NA,NA,0.837430467,0.776805301,3.036353323,NA,0.077474046,5.706126996,5.59573367,6.578147364,6.85134415,0.443805386,0.195605155,0.634820391,NA,NA,NA,NA,0.219516556,0.06799611,NA,NA,NA,NA,1.127780972,0.999992747,2.468073113,2.736845863,0.907882519,0.713926172,0.32497805,0.180029626,2.094468604,0.938954504,13.23653559,14.16410717,11.48633135,1.871842416,1.527370595,7.294485561,10.74140737,2.641157269,2.307255207,2.576154082,2.505858425,NA,0.146311004,NA,NA,NA,NA,0.09487869,0.000972098,3.657253299,35
1948,12.06803439,11.95976805,6.146884952,4.176153215,4.87099488,3.708610077,NA,NA,1.619340832,1.088633517,1.243217749,1.439408111,0.523010079,0.468773741,NA,0.165413412,1.515155192,1.6034759,2.39694052,1.510300311,3.493782456,3.237650164,1.270421798,0.45046983,2.354149895,0.830608767,NA,NA,NA,NA,12.69746732,13.14231377,1.538750192,0.702231499,NA,NA,0.643663712,0.628990111,2.128393046,NA,0.061097664,2.912025126,3.049222897,5.513799383,5.076026501,0.491778454,0.282117929,0.521843911,NA,NA,NA,NA,0.289543214,0.149178642,NA,NA,NA,NA,0.838210347,0.634871063,2.006983936,1.940777559,0.606442296,0.520789014,0.448801623,0.194524994,1.493734667,0.717495226,8.483495462,11.14174123,11.78418931,1.467217514,1.039198104,6.643260941,8.549352511,1.951705307,1.638870077,2.241760657,1.625129847,NA,0.180166764,NA,NA,NA,NA,0.303946141,0.010513227,2.881762797,35
1949,8.794778312,8.655500012,5.45634852,3.578765413,3.575371927,3.79999,NA,NA,0.923120612,0.839967113,1.233826094,1.06993921,0.749210609,0.656012861,NA,0.236388491,1.070469188,1.453084399,1.806054551,1.014980497,4.168460362,3.039266359,1.488344181,0.628656317,2.672466517,0.997680579,NA,NA,NA,0.344583133,8.884646341,9.637902565,1.038707589,0.490107795,NA,NA,0.673295214,0.744309475,2.048739769,NA,0.029721321,2.89723412,2.974998965,4.917130982,3.733291186,0.554937063,0.329776169,0.650147606,NA,NA,NA,NA,0.405983024,0.271596555,NA,NA,NA,NA,1.128230573,0.853998327,1.427757523,1.551852176,0.592195574,0.453081003,0.425883942,0.38466252,1.177831385,0.856832604,5.782126614,6.192185712,10.01598214,1.509927379,1.131429486,4.509633142,5.677296415,1.421079156,1.426444015,1.922266352,1.685358705,0.052414034,0.208671454,NA,NA,NA,NA,0.59894574,0.047529523,2.266203129,36
1950,9.137981367,7.264562409,6.25126742,2.783190901,5.863782864,4.471691563,NA,0.415901811,1.027500687,0.832619897,1.338642622,1.043553152,0.698348121,0.637435639,NA,0.28562074,1.437175697,1.800695354,2.258006495,1.407728786,4.360765073,2.976376273,1.633433323,0.654068365,2.43802626,0.946949813,NA,NA,NA,0.660974554,11.38879832,10.22584416,1.285432943,0.779052593,NA,NA,0.845404319,0.85237754,2.29454252,NA,0.034498798,3.894690625,5.319241827,4.378733577,3.549499916,0.566531212,0.42224484,0.789596946,NA,NA,NA,NA,0.448291923,0.27755042,NA,NA,NA,NA,1.433105636,1.127085077,1.889550227,2.025764929,0.629987807,0.439038844,0.453456073,0.456862356,1.477438396,1.023794654,4.74092304,4.438538348,8.748720894,1.840511637,1.55972664,6.028797419,7.857957297,1.596947277,2.004055883,1.542891681,1.907814737,0.056336246,0.18391931,NA,NA,NA,NA,0.707784365,0.096539152,2.451435516,37
1951,7.050161921,6.117102241,3.843561537,2.057741558,4.179607208,2.672449563,NA,0.644561719,0.711530572,0.683030861,1.015419049,1.086424173,0.563144039,0.654794918,NA,0.250063809,1.052307996,1.411621225,1.894189193,1.224575126,3.161537053,3.396912586,1.394136079,0.576514476,1.928472097,0.690116319,0.123040074,NA,NA,0.603492534,10.02101486,8.825219572,0.818490392,0.477638415,0.052627222,0.023624633,0.468219598,0.460229906,1.364068773,NA,0.079112005,4.829010895,5.463732657,3.009137241,2.638749213,0.515506352,0.355925259,0.626987891,NA,NA,NA,NA,0.451695054,0.281075062,NA,NA,NA,0.001472352,1.825875887,1.287740807,1.276920015,1.233098528,0.512343197,0.388196915,0.419103906,0.329166306,1.631211126,1.058124735,3.256314718,2.675849933,5.007261009,1.544360373,1.517410186,4.959262334,5.342616471,1.572510799,1.620936342,1.323276943,1.433216814,0.067458876,0.18978368,NA,NA,NA,NA,0.794351383,0.1416378,1.847296822,40
1952,9.651726498,6.801214663,7.279103627,5.281485343,5.853969966,4.9219879,NA,0.942107955,1.678920687,1.722394995,1.735602068,1.48887702,1.100533157,1.258041866,NA,0.446885543,1.546824566,2.355925879,2.600526253,1.628001768,4.469427478,3.536174302,2.32422512,0.884682839,3.480286717,1.432775003,0.321103776,NA,NA,0.514644768,12.74761018,12.04346384,1.870479839,0.860333188,0.134120075,0.073997199,0.684758275,0.789980984,2.877571421,NA,0.106247372,5.526407295,5.507575318,5.904846202,4.286018631,1.18412122,0.892054219,1.445387642,NA,NA,NA,NA,0.753222053,0.464838745,NA,NA,NA,0.013559778,2.823816429,2.100788236,1.829300814,1.954301287,0.963739117,0.77671731,0.631207616,0.50012415,3.179412779,1.926173423,8.605804082,6.441000358,9.644318783,2.417037413,2.490350436,6.735625012,8.939044688,2.233542211,2.275117651,1.83833456,1.924286936,0.074425251,0.206633067,NA,NA,NA,NA,0.635560704,0.127262207,2.883069968,40
1953,11.49877733,7.563824764,8.325877032,6.899255117,6.725392773,5.291268971,NA,0.964574454,1.888193997,1.825414627,1.713859644,1.919297322,1.05270623,1.213461212,0.136140346,0.28411451,1.459318192,2.024297436,2.888804448,1.996361982,4.258495486,2.110090572,1.853604216,0.770627638,4.04526752,1.321053662,0.555144986,NA,0.426747327,0.793798831,11.41498546,13.08155375,1.508327473,0.804714895,0.105046138,0.052238193,0.734094467,0.730524298,3.387233263,NA,0.182379988,6.33965426,7.353125049,5.685012043,4.744221076,1.053298755,0.821975551,0.81514725,NA,NA,NA,NA,0.550185293,0.545441158,NA,NA,NA,0.015997327,1.90397135,1.27871863,1.923680323,1.865801564,0.938828229,0.701917744,0.73639204,0.488549984,3.009769461,1.76555295,7.177755913,6.888497565,6.738263264,2.546663069,2.08436541,6.231485385,8.886146285,2.109730053,2.249779014,2.309148212,2.608804831,0.059128317,0.144556875,NA,NA,NA,NA,0.322736227,0.078434014,2.832597302,40
1954,7.413456976,4.823468773,5.336002385,3.902323142,2.798962739,3.344396273,NA,0.597462952,0.880754815,1.0129669,0.997741604,0.704347016,0.662312533,0.747822178,0.080601657,0.139101953,0.911938071,1.268484901,2.568623268,1.454917631,2.860303717,2.805909636,1.094971653,0.432089472,2.842018553,1.09179288,0.680651151,0.555421004,0.299411459,0.555462373,10.5372204,10.02983777,0.680338473,0.283993411,0.093858011,0.036780272,0.452372459,0.401335519,1.867751758,1.395890989,0.13418789,3.606254531,4.440909872,4.315805135,3.265558535,0.648592925,0.437358749,0.422407787,NA,NA,NA,NA,0.329783823,0.465554297,NA,NA,0.190792966,0.015652845,0.912632187,0.92945717,0.915676705,0.978350737,0.549813721,0.374630084,0.318864066,0.227092197,1.216668167,0.977018552,2.593107674,2.825661537,3.241046355,1.310708519,1.065467995,2.71393905,3.960451086,1.694367211,1.257482808,1.459857573,1.58959678,0.059688635,0.153112671,NA,0.150967335,NA,NA,0.335596689,0.103333204,1.673123958,41
1955,7.214805144,3.40368651,4.665408352,3.205123399,3.402337388,5.097772818,NA,0.867323532,1.459528318,1.510429749,1.487145346,0.881952911,0.778046344,0.702611581,0.147111431,0.226791919,1.251580741,1.903596758,2.107512972,1.648431955,3.371224736,2.059956739,0.575099441,0.229318828,2.22361999,1.038277751,0.679608698,0.594648174,0.345364794,0.559712237,11.35952983,10.27693842,1.26781898,0.597977657,0.102434294,0.047524706,0.639530989,0.682251921,1.542332859,1.602572288,0.095542394,4.764609739,6.67095728,4.781633299,2.896024269,0.699074392,0.494089846,0.554000964,NA,NA,NA,NA,0.487683413,0.460654245,NA,NA,0.137585728,0.022550088,0.935806288,0.78172962,0.933367191,1.083591641,0.888327708,0.586272217,0.781044984,0.365314252,1.735062429,1.181686807,4.316537032,3.709805982,4.540703542,1.577089841,1.286185593,4.570477724,5.756018641,1.395122529,1.023702395,1.854361926,1.956427173,0.064062398,0.149404485,NA,0.592846555,NA,NA,0.325252074,0.095489417,1.900091384,41
