"","tree","year","dbh"
"141","VLF075",1924,NA
"142","VLF101",1924,NA
"143","VLF102",1924,NA
"144","VLF104",1924,NA
"145","VLF105",1924,NA
"146","VLF106",1924,NA
"147","VLF107",1924,NA
"148","VLF108",1924,NA
"149","VLF109",1924,NA
"150","VLF112",1924,NA
"151","VLF113",1924,NA
"152","VLF114",1924,NA
"153","VLF115",1924,NA
"154","VLF116",1924,NA
"155","VLF117",1924,NA
"156","VLF118",1924,NA
"157","VLF119",1924,NA
"158","VLF120",1924,NA
"159","VLF121",1924,NA
"160","VLF122",1924,NA
"161","VLF123",1924,NA
"162","VLF124",1924,NA
"163","VLF125",1924,NA
"164","VLF126",1924,NA
"165","VLF127",1924,NA
"166","VLF128",1924,NA
"167","VLF129",1924,NA
"168","VLF130",1924,NA
"169","VLF131",1924,NA
"170","VLF132",1924,NA
"171","VLF133",1924,NA
"172","VLF134",1924,NA
"173","VLF135",1924,NA
"174","VLF136",1924,NA
"175","VLF137",1924,NA
"176","VLF138",1924,NA
"177","VLF139",1924,NA
"178","VLF140",1924,NA
"179","VLF141",1924,NA
"180","VLF142",1924,NA
"181","VLF143",1924,NA
"182","VLF145",1924,NA
"183","VLF146",1924,NA
"184","VLF147",1924,NA
"185","VLF149",1924,NA
"186","VLF150",1924,NA
"187","VLF218",1924,NA
"188","VLF224",1924,NA
"189","VLF227",1924,NA
"190","VLF254",1924,NA
"191","VLF255",1924,NA
"192","VLF266",1924,NA
"193","VLF268",1924,NA
"194","VLF270",1924,NA
"195","VLF354",1924,NA
"196","VLF355",1924,NA
"197","VLF368",1924,NA
"198","VLF454",1924,NA
"199","VLF554",1924,NA
"200","X",1924,NA
"201","VLF001",1925,NA
"202","VLF004",1925,NA
"203","VLF005",1925,NA
"204","VLF007",1925,NA
"205","VLF008",1925,NA
"206","VLF009",1925,NA
"207","VLF010",1925,NA
"208","VLF011",1925,NA
"209","VLF012",1925,NA
"210","VLF015",1925,NA
"211","VLF016",1925,NA
"212","VLF017",1925,NA
"213","VLF018",1925,NA
"214","VLF019",1925,NA
"215","VLF020",1925,NA
"216","VLF021",1925,NA
"217","VLF022",1925,NA
"218","VLF023",1925,NA
"219","VLF025",1925,NA
"220","VLF051",1925,NA
"221","VLF052",1925,NA
"222","VLF053",1925,NA
"223","VLF054",1925,NA
"224","VLF055",1925,NA
"225","VLF057",1925,NA
"226","VLF058",1925,NA
"227","VLF059",1925,NA
"228","VLF061",1925,NA
"229","VLF062",1925,NA
"230","VLF063",1925,NA
"231","VLF064",1925,NA
"232","VLF065",1925,NA
"233","VLF066",1925,NA
"234","VLF067",1925,NA
"235","VLF068",1925,NA
"236","VLF069",1925,NA
"237","VLF070",1925,NA
"238","VLF072",1925,NA
"239","VLF073",1925,NA
"240","VLF074",1925,NA
"241","VLF075",1925,NA
"242","VLF101",1925,NA
"243","VLF102",1925,NA
"244","VLF104",1925,NA
"245","VLF105",1925,NA
"246","VLF106",1925,NA
"247","VLF107",1925,NA
"248","VLF108",1925,NA
"249","VLF109",1925,NA
"250","VLF112",1925,NA
"251","VLF113",1925,NA
"252","VLF114",1925,NA
"253","VLF115",1925,NA
"254","VLF116",1925,NA
"255","VLF117",1925,NA
"256","VLF118",1925,NA
"257","VLF119",1925,NA
"258","VLF120",1925,NA
"259","VLF121",1925,NA
"260","VLF122",1925,NA
"261","VLF123",1925,NA
"262","VLF124",1925,NA
"263","VLF125",1925,NA
"264","VLF126",1925,NA
"265","VLF127",1925,NA
"266","VLF128",1925,NA
"267","VLF129",1925,NA
"268","VLF130",1925,NA
"269","VLF131",1925,NA
"270","VLF132",1925,NA
"271","VLF133",1925,NA
"272","VLF134",1925,NA
"273","VLF135",1925,NA
"274","VLF136",1925,NA
"275","VLF137",1925,NA
"276","VLF138",1925,NA
"277","VLF139",1925,NA
"278","VLF140",1925,NA
"279","VLF141",1925,NA
"280","VLF142",1925,NA
"281","VLF143",1925,NA
"282","VLF145",1925,NA
"283","VLF146",1925,NA
"284","VLF147",1925,NA
"285","VLF149",1925,NA
"286","VLF150",1925,NA
"287","VLF218",1925,NA
"288","VLF224",1925,NA
"289","VLF227",1925,NA
"290","VLF254",1925,NA
"291","VLF255",1925,NA
"292","VLF266",1925,NA
"293","VLF268",1925,NA
"294","VLF270",1925,NA
"295","VLF354",1925,NA
"296","VLF355",1925,NA
"297","VLF368",1925,NA
"298","VLF454",1925,NA
"299","VLF554",1925,NA
"300","X",1925,NA
"301","VLF001",1926,NA
"302","VLF004",1926,NA
"303","VLF005",1926,NA
"304","VLF007",1926,NA
"305","VLF008",1926,NA
"306","VLF009",1926,NA
"307","VLF010",1926,NA
"308","VLF011",1926,NA
"309","VLF012",1926,NA
"310","VLF015",1926,NA
"311","VLF016",1926,NA
"312","VLF017",1926,NA
"313","VLF018",1926,NA
"314","VLF019",1926,NA
"315","VLF020",1926,NA
"316","VLF021",1926,NA
"317","VLF022",1926,NA
"318","VLF023",1926,NA
"319","VLF025",1926,NA
"320","VLF051",1926,NA
"321","VLF052",1926,NA
"322","VLF053",1926,NA
"323","VLF054",1926,NA
"324","VLF055",1926,NA
"325","VLF057",1926,NA
"326","VLF058",1926,NA
"327","VLF059",1926,NA
"328","VLF061",1926,NA
"329","VLF062",1926,NA
"330","VLF063",1926,NA
"331","VLF064",1926,NA
"332","VLF065",1926,NA
"333","VLF066",1926,NA
"334","VLF067",1926,NA
"335","VLF068",1926,NA
"336","VLF069",1926,NA
"337","VLF070",1926,NA
"338","VLF072",1926,NA
"339","VLF073",1926,NA
"340","VLF074",1926,NA
"341","VLF075",1926,NA
"342","VLF101",1926,NA
"343","VLF102",1926,NA
"344","VLF104",1926,NA
"345","VLF105",1926,NA
"346","VLF106",1926,NA
"347","VLF107",1926,NA
"348","VLF108",1926,NA
"349","VLF109",1926,NA
"350","VLF112",1926,NA
"351","VLF113",1926,NA
"352","VLF114",1926,NA
"353","VLF115",1926,NA
"354","VLF116",1926,NA
"355","VLF117",1926,NA
"356","VLF118",1926,NA
"357","VLF119",1926,NA
"358","VLF120",1926,NA
"359","VLF121",1926,NA
"360","VLF122",1926,NA
"361","VLF123",1926,NA
"362","VLF124",1926,NA
"363","VLF125",1926,NA
"364","VLF126",1926,NA
"365","VLF127",1926,NA
"366","VLF128",1926,NA
"367","VLF129",1926,NA
"368","VLF130",1926,NA
"369","VLF131",1926,NA
"370","VLF132",1926,NA
"371","VLF133",1926,NA
"372","VLF134",1926,NA
"373","VLF135",1926,NA
"374","VLF136",1926,NA
"375","VLF137",1926,NA
"376","VLF138",1926,NA
"377","VLF139",1926,NA
"378","VLF140",1926,NA
"379","VLF141",1926,NA
"380","VLF142",1926,NA
"381","VLF143",1926,NA
"382","VLF145",1926,NA
"383","VLF146",1926,NA
"384","VLF147",1926,NA
"385","VLF149",1926,NA
"386","VLF150",1926,NA
"387","VLF218",1926,NA
"388","VLF224",1926,NA
"389","VLF227",1926,NA
"390","VLF254",1926,NA
"391","VLF255",1926,NA
"392","VLF266",1926,NA
"393","VLF268",1926,NA
"394","VLF270",1926,NA
"395","VLF354",1926,NA
"396","VLF355",1926,NA
"397","VLF368",1926,NA
"398","VLF454",1926,NA
"399","VLF554",1926,NA
"400","X",1926,NA
"401","VLF001",1927,NA
"402","VLF004",1927,NA
"403","VLF005",1927,NA
"404","VLF007",1927,NA
"405","VLF008",1927,NA
"406","VLF009",1927,NA
"407","VLF010",1927,NA
"408","VLF011",1927,NA
"409","VLF012",1927,NA
"410","VLF015",1927,NA
"411","VLF016",1927,NA
"412","VLF017",1927,NA
"413","VLF018",1927,NA
"414","VLF019",1927,NA
"415","VLF020",1927,NA
"416","VLF021",1927,NA
"417","VLF022",1927,NA
"418","VLF023",1927,NA
"419","VLF025",1927,NA
"420","VLF051",1927,NA
"421","VLF052",1927,NA
"422","VLF053",1927,NA
"423","VLF054",1927,NA
"424","VLF055",1927,NA
"425","VLF057",1927,NA
"426","VLF058",1927,NA
"427","VLF059",1927,NA
"428","VLF061",1927,NA
"429","VLF062",1927,NA
"430","VLF063",1927,NA
"431","VLF064",1927,NA
"432","VLF065",1927,NA
"433","VLF066",1927,NA
"434","VLF067",1927,NA
"435","VLF068",1927,NA
"436","VLF069",1927,NA
"437","VLF070",1927,NA
"438","VLF072",1927,NA
"439","VLF073",1927,NA
"440","VLF074",1927,NA
"441","VLF075",1927,NA
"442","VLF101",1927,NA
"443","VLF102",1927,NA
"444","VLF104",1927,NA
"445","VLF105",1927,NA
"446","VLF106",1927,NA
"447","VLF107",1927,NA
"448","VLF108",1927,NA
"449","VLF109",1927,NA
"450","VLF112",1927,NA
"451","VLF113",1927,NA
"452","VLF114",1927,NA
"453","VLF115",1927,NA
"454","VLF116",1927,NA
"455","VLF117",1927,NA
"456","VLF118",1927,NA
"457","VLF119",1927,NA
"458","VLF120",1927,NA
"459","VLF121",1927,NA
"460","VLF122",1927,NA
"461","VLF123",1927,NA
"462","VLF124",1927,NA
"463","VLF125",1927,NA
"464","VLF126",1927,NA
"465","VLF127",1927,NA
"466","VLF128",1927,NA
"467","VLF129",1927,NA
"468","VLF130",1927,NA
"469","VLF131",1927,NA
"470","VLF132",1927,NA
"471","VLF133",1927,NA
"472","VLF134",1927,NA
"473","VLF135",1927,NA
"474","VLF136",1927,NA
"475","VLF137",1927,NA
"476","VLF138",1927,NA
"477","VLF139",1927,NA
"478","VLF140",1927,NA
"479","VLF141",1927,NA
"480","VLF142",1927,NA
"481","VLF143",1927,NA
"482","VLF145",1927,NA
"483","VLF146",1927,NA
"484","VLF147",1927,NA
"485","VLF149",1927,NA
"486","VLF150",1927,NA
"487","VLF218",1927,NA
"488","VLF224",1927,NA
"489","VLF227",1927,NA
"490","VLF254",1927,NA
"491","VLF255",1927,NA
"492","VLF266",1927,NA
"493","VLF268",1927,NA
"494","VLF270",1927,NA
"495","VLF354",1927,NA
"496","VLF355",1927,NA
"497","VLF368",1927,NA
"498","VLF454",1927,NA
"499","VLF554",1927,NA
"500","X",1927,NA
"501","VLF001",1928,NA
"502","VLF004",1928,NA
"503","VLF005",1928,NA
"504","VLF007",1928,NA
"505","VLF008",1928,NA
"506","VLF009",1928,NA
"507","VLF010",1928,NA
"508","VLF011",1928,NA
"509","VLF012",1928,NA
"510","VLF015",1928,NA
"511","VLF016",1928,NA
"512","VLF017",1928,NA
"513","VLF018",1928,NA
"514","VLF019",1928,NA
"515","VLF020",1928,NA
"516","VLF021",1928,NA
"517","VLF022",1928,NA
"518","VLF023",1928,NA
"519","VLF025",1928,NA
"520","VLF051",1928,NA
"521","VLF052",1928,NA
"522","VLF053",1928,NA
"523","VLF054",1928,NA
"524","VLF055",1928,NA
"525","VLF057",1928,NA
"526","VLF058",1928,NA
"527","VLF059",1928,NA
"528","VLF061",1928,NA
"529","VLF062",1928,NA
"530","VLF063",1928,NA
"531","VLF064",1928,NA
"532","VLF065",1928,NA
"533","VLF066",1928,NA
"534","VLF067",1928,NA
"535","VLF068",1928,NA
"536","VLF069",1928,NA
"537","VLF070",1928,NA
"538","VLF072",1928,NA
"539","VLF073",1928,NA
"540","VLF074",1928,NA
"541","VLF075",1928,NA
"542","VLF101",1928,NA
"543","VLF102",1928,NA
"544","VLF104",1928,NA
"545","VLF105",1928,NA
"546","VLF106",1928,NA
"547","VLF107",1928,NA
"548","VLF108",1928,NA
"549","VLF109",1928,NA
"550","VLF112",1928,NA
"551","VLF113",1928,NA
"552","VLF114",1928,NA
"553","VLF115",1928,NA
"554","VLF116",1928,NA
"555","VLF117",1928,NA
"556","VLF118",1928,NA
"557","VLF119",1928,NA
"558","VLF120",1928,NA
"559","VLF121",1928,NA
"560","VLF122",1928,NA
"561","VLF123",1928,NA
"562","VLF124",1928,NA
"563","VLF125",1928,NA
"564","VLF126",1928,NA
"565","VLF127",1928,NA
"566","VLF128",1928,NA
"567","VLF129",1928,NA
"568","VLF130",1928,NA
"569","VLF131",1928,NA
"570","VLF132",1928,NA
"571","VLF133",1928,NA
"572","VLF134",1928,NA
"573","VLF135",1928,NA
"574","VLF136",1928,NA
"575","VLF137",1928,NA
"576","VLF138",1928,NA
"577","VLF139",1928,NA
"578","VLF140",1928,NA
"579","VLF141",1928,NA
"580","VLF142",1928,NA
"581","VLF143",1928,NA
"582","VLF145",1928,NA
"583","VLF146",1928,NA
"584","VLF147",1928,NA
"585","VLF149",1928,NA
"586","VLF150",1928,NA
"587","VLF218",1928,NA
"588","VLF224",1928,NA
"589","VLF227",1928,NA
"590","VLF254",1928,NA
"591","VLF255",1928,NA
"592","VLF266",1928,NA
"593","VLF268",1928,NA
"594","VLF270",1928,NA
"595","VLF354",1928,NA
"596","VLF355",1928,NA
"597","VLF368",1928,NA
"598","VLF454",1928,NA
"599","VLF554",1928,NA
"600","X",1928,NA
"601","VLF001",1929,NA
"602","VLF004",1929,NA
"603","VLF005",1929,NA
"604","VLF007",1929,NA
"605","VLF008",1929,NA
"606","VLF009",1929,NA
"607","VLF010",1929,NA
"608","VLF011",1929,NA
"609","VLF012",1929,NA
"610","VLF015",1929,NA
"611","VLF016",1929,NA
"612","VLF017",1929,NA
"613","VLF018",1929,NA
"614","VLF019",1929,NA
"615","VLF020",1929,NA
"616","VLF021",1929,NA
"617","VLF022",1929,NA
"618","VLF023",1929,NA
"619","VLF025",1929,NA
"620","VLF051",1929,NA
"621","VLF052",1929,NA
"622","VLF053",1929,NA
"623","VLF054",1929,NA
"624","VLF055",1929,NA
"625","VLF057",1929,NA
"626","VLF058",1929,NA
"627","VLF059",1929,NA
"628","VLF061",1929,NA
"629","VLF062",1929,NA
"630","VLF063",1929,NA
"631","VLF064",1929,NA
"632","VLF065",1929,NA
"633","VLF066",1929,NA
"634","VLF067",1929,NA
"635","VLF068",1929,NA
"636","VLF069",1929,NA
"637","VLF070",1929,NA
"638","VLF072",1929,NA
"639","VLF073",1929,NA
"640","VLF074",1929,NA
"641","VLF075",1929,NA
"642","VLF101",1929,NA
"643","VLF102",1929,NA
"644","VLF104",1929,NA
"645","VLF105",1929,NA
"646","VLF106",1929,NA
"647","VLF107",1929,NA
"648","VLF108",1929,NA
"649","VLF109",1929,NA
"650","VLF112",1929,NA
"651","VLF113",1929,NA
"652","VLF114",1929,NA
"653","VLF115",1929,NA
"654","VLF116",1929,NA
"655","VLF117",1929,NA
"656","VLF118",1929,NA
"657","VLF119",1929,NA
"658","VLF120",1929,NA
"659","VLF121",1929,NA
"660","VLF122",1929,NA
"661","VLF123",1929,NA
"662","VLF124",1929,NA
"663","VLF125",1929,NA
"664","VLF126",1929,NA
"665","VLF127",1929,NA
"666","VLF128",1929,NA
"667","VLF129",1929,NA
"668","VLF130",1929,NA
"669","VLF131",1929,NA
"670","VLF132",1929,NA
"671","VLF133",1929,NA
"672","VLF134",1929,NA
"673","VLF135",1929,NA
"674","VLF136",1929,NA
"675","VLF137",1929,NA
"676","VLF138",1929,NA
"677","VLF139",1929,NA
"678","VLF140",1929,NA
"679","VLF141",1929,NA
"680","VLF142",1929,NA
"681","VLF143",1929,NA
"682","VLF145",1929,NA
"683","VLF146",1929,NA
"684","VLF147",1929,NA
"685","VLF149",1929,NA
"686","VLF150",1929,24.254
"687","VLF218",1929,NA
"688","VLF224",1929,NA
"689","VLF227",1929,NA
"690","VLF254",1929,NA
"691","VLF255",1929,NA
"692","VLF266",1929,NA
"693","VLF268",1929,NA
"694","VLF270",1929,NA
"695","VLF354",1929,NA
"696","VLF355",1929,NA
"697","VLF368",1929,NA
"698","VLF454",1929,NA
"699","VLF554",1929,NA
"700","X",1929,NA
"701","VLF001",1930,NA
"702","VLF004",1930,NA
"703","VLF005",1930,NA
"704","VLF007",1930,NA
"705","VLF008",1930,NA
"706","VLF009",1930,NA
"707","VLF010",1930,NA
"708","VLF011",1930,NA
"709","VLF012",1930,NA
"710","VLF015",1930,NA
"711","VLF016",1930,NA
"712","VLF017",1930,NA
"713","VLF018",1930,NA
"714","VLF019",1930,NA
"715","VLF020",1930,NA
"716","VLF021",1930,NA
"717","VLF022",1930,NA
"718","VLF023",1930,NA
"719","VLF025",1930,NA
"720","VLF051",1930,NA
"721","VLF052",1930,NA
"722","VLF053",1930,NA
"723","VLF054",1930,NA
"724","VLF055",1930,NA
"725","VLF057",1930,NA
"726","VLF058",1930,NA
"727","VLF059",1930,NA
"728","VLF061",1930,NA
"729","VLF062",1930,NA
"730","VLF063",1930,NA
"731","VLF064",1930,NA
"732","VLF065",1930,NA
"733","VLF066",1930,NA
"734","VLF067",1930,NA
"735","VLF068",1930,NA
"736","VLF069",1930,NA
"737","VLF070",1930,NA
"738","VLF072",1930,NA
"739","VLF073",1930,NA
"740","VLF074",1930,NA
"741","VLF075",1930,NA
"742","VLF101",1930,NA
"743","VLF102",1930,NA
"744","VLF104",1930,NA
"745","VLF105",1930,NA
"746","VLF106",1930,NA
"747","VLF107",1930,NA
"748","VLF108",1930,NA
"749","VLF109",1930,NA
"750","VLF112",1930,NA
"751","VLF113",1930,NA
"752","VLF114",1930,NA
"753","VLF115",1930,NA
"754","VLF116",1930,NA
"755","VLF117",1930,NA
"756","VLF118",1930,NA
"757","VLF119",1930,NA
"758","VLF120",1930,NA
"759","VLF121",1930,NA
"760","VLF122",1930,NA
"761","VLF123",1930,NA
"762","VLF124",1930,NA
"763","VLF125",1930,NA
"764","VLF126",1930,NA
"765","VLF127",1930,NA
"766","VLF128",1930,NA
"767","VLF129",1930,NA
"768","VLF130",1930,NA
"769","VLF131",1930,NA
"770","VLF132",1930,NA
"771","VLF133",1930,NA
"772","VLF134",1930,NA
"773","VLF135",1930,NA
"774","VLF136",1930,NA
"775","VLF137",1930,NA
"776","VLF138",1930,NA
"777","VLF139",1930,NA
"778","VLF140",1930,NA
"779","VLF141",1930,NA
"780","VLF142",1930,NA
"781","VLF143",1930,NA
"782","VLF145",1930,NA
"783","VLF146",1930,NA
"784","VLF147",1930,NA
"785","VLF149",1930,NA
"786","VLF150",1930,24.515
"787","VLF218",1930,NA
"788","VLF224",1930,NA
"789","VLF227",1930,NA
"790","VLF254",1930,NA
"791","VLF255",1930,NA
"792","VLF266",1930,NA
"793","VLF268",1930,NA
"794","VLF270",1930,NA
"795","VLF354",1930,NA
"796","VLF355",1930,NA
"797","VLF368",1930,NA
"798","VLF454",1930,NA
"799","VLF554",1930,NA
"800","X",1930,NA
"801","VLF001",1931,NA
"802","VLF004",1931,NA
"803","VLF005",1931,NA
"804","VLF007",1931,NA
"805","VLF008",1931,NA
"806","VLF009",1931,NA
"807","VLF010",1931,NA
"808","VLF011",1931,NA
"809","VLF012",1931,NA
"810","VLF015",1931,NA
"811","VLF016",1931,NA
"812","VLF017",1931,NA
"813","VLF018",1931,NA
"814","VLF019",1931,NA
"815","VLF020",1931,NA
"816","VLF021",1931,NA
"817","VLF022",1931,NA
"818","VLF023",1931,NA
"819","VLF025",1931,NA
"820","VLF051",1931,NA
"821","VLF052",1931,NA
"822","VLF053",1931,NA
"823","VLF054",1931,NA
"824","VLF055",1931,NA
"825","VLF057",1931,NA
"826","VLF058",1931,NA
"827","VLF059",1931,NA
"828","VLF061",1931,NA
"829","VLF062",1931,NA
"830","VLF063",1931,NA
"831","VLF064",1931,NA
"832","VLF065",1931,NA
"833","VLF066",1931,NA
"834","VLF067",1931,NA
"835","VLF068",1931,NA
"836","VLF069",1931,NA
"837","VLF070",1931,NA
"838","VLF072",1931,NA
"839","VLF073",1931,NA
"840","VLF074",1931,NA
"841","VLF075",1931,NA
"842","VLF101",1931,NA
"843","VLF102",1931,NA
"844","VLF104",1931,NA
"845","VLF105",1931,NA
"846","VLF106",1931,NA
"847","VLF107",1931,NA
"848","VLF108",1931,NA
"849","VLF109",1931,NA
"850","VLF112",1931,NA
"851","VLF113",1931,NA
"852","VLF114",1931,NA
"853","VLF115",1931,NA
"854","VLF116",1931,NA
"855","VLF117",1931,NA
"856","VLF118",1931,NA
"857","VLF119",1931,NA
"858","VLF120",1931,NA
"859","VLF121",1931,NA
"860","VLF122",1931,NA
"861","VLF123",1931,NA
"862","VLF124",1931,NA
"863","VLF125",1931,NA
"864","VLF126",1931,NA
"865","VLF127",1931,NA
"866","VLF128",1931,NA
"867","VLF129",1931,NA
"868","VLF130",1931,NA
"869","VLF131",1931,NA
"870","VLF132",1931,NA
"871","VLF133",1931,NA
"872","VLF134",1931,NA
"873","VLF135",1931,NA
"874","VLF136",1931,NA
"875","VLF137",1931,NA
"876","VLF138",1931,NA
"877","VLF139",1931,NA
"878","VLF140",1931,NA
"879","VLF141",1931,NA
"880","VLF142",1931,NA
"881","VLF143",1931,NA
"882","VLF145",1931,NA
"883","VLF146",1931,NA
"884","VLF147",1931,NA
"885","VLF149",1931,NA
"886","VLF150",1931,24.783
"887","VLF218",1931,NA
"888","VLF224",1931,NA
"889","VLF227",1931,NA
"890","VLF254",1931,NA
"891","VLF255",1931,NA
"892","VLF266",1931,NA
"893","VLF268",1931,NA
"894","VLF270",1931,NA
"895","VLF354",1931,NA
"896","VLF355",1931,NA
"897","VLF368",1931,NA
"898","VLF454",1931,NA
"899","VLF554",1931,NA
"900","X",1931,NA
"901","VLF001",1932,NA
"902","VLF004",1932,NA
"903","VLF005",1932,NA
"904","VLF007",1932,NA
"905","VLF008",1932,NA
"906","VLF009",1932,NA
"907","VLF010",1932,NA
"908","VLF011",1932,NA
"909","VLF012",1932,NA
"910","VLF015",1932,NA
"911","VLF016",1932,NA
"912","VLF017",1932,NA
"913","VLF018",1932,NA
"914","VLF019",1932,NA
"915","VLF020",1932,NA
"916","VLF021",1932,NA
"917","VLF022",1932,NA
"918","VLF023",1932,NA
"919","VLF025",1932,NA
"920","VLF051",1932,NA
"921","VLF052",1932,NA
"922","VLF053",1932,NA
"923","VLF054",1932,NA
"924","VLF055",1932,NA
"925","VLF057",1932,NA
"926","VLF058",1932,NA
"927","VLF059",1932,NA
"928","VLF061",1932,NA
"929","VLF062",1932,NA
"930","VLF063",1932,NA
"931","VLF064",1932,NA
"932","VLF065",1932,NA
"933","VLF066",1932,NA
"934","VLF067",1932,NA
"935","VLF068",1932,NA
"936","VLF069",1932,NA
"937","VLF070",1932,NA
"938","VLF072",1932,NA
"939","VLF073",1932,NA
"940","VLF074",1932,NA
"941","VLF075",1932,NA
"942","VLF101",1932,NA
"943","VLF102",1932,NA
"944","VLF104",1932,NA
"945","VLF105",1932,NA
"946","VLF106",1932,NA
"947","VLF107",1932,NA
"948","VLF108",1932,NA
"949","VLF109",1932,NA
"950","VLF112",1932,NA
"951","VLF113",1932,NA
"952","VLF114",1932,NA
"953","VLF115",1932,NA
"954","VLF116",1932,NA
"955","VLF117",1932,NA
"956","VLF118",1932,NA
"957","VLF119",1932,NA
"958","VLF120",1932,NA
"959","VLF121",1932,NA
"960","VLF122",1932,NA
"961","VLF123",1932,NA
"962","VLF124",1932,NA
"963","VLF125",1932,NA
"964","VLF126",1932,NA
"965","VLF127",1932,NA
"966","VLF128",1932,NA
"967","VLF129",1932,NA
"968","VLF130",1932,NA
"969","VLF131",1932,NA
"970","VLF132",1932,NA
"971","VLF133",1932,NA
"972","VLF134",1932,NA
"973","VLF135",1932,NA
"974","VLF136",1932,NA
"975","VLF137",1932,NA
"976","VLF138",1932,NA
"977","VLF139",1932,NA
"978","VLF140",1932,NA
"979","VLF141",1932,NA
"980","VLF142",1932,NA
"981","VLF143",1932,NA
"982","VLF145",1932,NA
"983","VLF146",1932,NA
"984","VLF147",1932,NA
"985","VLF149",1932,NA
"986","VLF150",1932,25.087
"987","VLF218",1932,NA
"988","VLF224",1932,NA
"989","VLF227",1932,NA
"990","VLF254",1932,NA
"991","VLF255",1932,NA
"992","VLF266",1932,NA
"993","VLF268",1932,NA
"994","VLF270",1932,NA
"995","VLF354",1932,NA
"996","VLF355",1932,NA
"997","VLF368",1932,NA
"998","VLF454",1932,NA
"999","VLF554",1932,NA
"1000","X",1932,NA
